audit,condition,available,key_stat,value
1,token_persistence,True,unique_tokens,60
1,token_persistence,True,multi_ep_tokens,0
1,token_persistence,True,repeated_observe_tokens,30
2,repeated_observation,True,repeated_observe_count,30
2,repeated_observation,True,mean_observes_per_token,1.5
2,repeated_observation,True,feature_change_tokens,15
2,repeated_observation,True,state_change_tokens,15
3,state_observation,True,state_feature_count,5
3,state_observation,True,state_events_with_data,267
3,state_observation,True,state_features,"clean,damaged,fresh,open,wet"
4,multi_action_covariation,True,mixed_objects,60
4,multi_action_covariation,True,inconsistent_repeats,23
5,heldout_split,True,episode_count,5
6,irreducible_noise,True,inconsistent_pairs,26
6,irreducible_noise,True,repeated_tries,75
7,surface_matched_rates,True,objects_with_mixed,60
7,surface_matched_rates,True,rates_matched,True
7,mixed_rate_identity_split,True,mean_rate_identity_split,0.7556
7,mixed_rate_observation_gap,True,mean_rate_observation_gap,0.6667
7,mixed_rate_state_condition,True,mean_rate_state_condition,0.6815
7,mixed_rate_irreducible_noise,True,mean_rate_irreducible_noise,0.7167
