metric,episode_heldout,loso
ridge_mse,0.057558,0.051866
ridge_mae,0.18809,0.173863
global_baseline_mse,0.073339,0.07496
global_baseline_mae,0.254931,0.257631
per_action_baseline_mse,0.061636,0.056851
per_action_baseline_mae,0.202027,0.196564
action_type_only_baseline_mse,0.061609,0.05685
action_type_only_baseline_mae,0.202224,0.19679
ridge_vs_global_delta_mse,0.015781,0.023095
ridge_vs_per_action_delta_mse,0.004078,0.004985
ridge_vs_action_type_delta_mse,0.004051,0.004984
shadow_observe_choice_rate,0.0,
shadow_try_choice_rate,1.0,
counterfactual_choice_rate,0.8857,
observe_count,100,450
observe_mse,0.000614,0.000636
observe_mae,0.019725,0.019782
observe_mean_true,0.0829,0.0999
observe_mean_pred,0.082,0.0999
try_burn_as_fuel_count,60,300
try_burn_as_fuel_mse,0.098017,0.086637
try_burn_as_fuel_mae,0.293664,0.280735
try_burn_as_fuel_mean_true,0.09,0.136
try_burn_as_fuel_mean_pred,0.0679,0.1355
try_craft_plank_count,100,450
try_craft_plank_mse,0.078271,0.070191
try_craft_plank_mae,0.240903,0.226975
try_craft_plank_mean_true,0.018,0.0193
try_craft_plank_mean_pred,0.025,0.0175
try_eat_count,100,450
try_eat_mse,0.071807,0.069964
try_eat_mae,0.235717,0.225113
try_eat_mean_true,0.012,0.0127
try_eat_mean_pred,0.0301,0.0092
try_mine_by_hand_count,60,300
try_mine_by_hand_mse,0.052419,0.048941
try_mine_by_hand_mae,0.191715,0.167361
try_mine_by_hand_mean_true,0.22,0.306
try_mine_by_hand_mean_pred,0.2348,0.3055
try_mine_with_pickaxe_count,60,300
try_mine_with_pickaxe_mse,0.037925,0.029117
try_mine_with_pickaxe_mae,0.155584,0.105956
try_mine_with_pickaxe_mean_true,0.37,0.392
try_mine_with_pickaxe_mean_pred,0.3276,0.3922
try_use_as_tool_count,80,375
try_use_as_tool_mse,0.073272,0.062355
try_use_as_tool_mae,0.215476,0.207554
try_use_as_tool_mean_true,0.0225,-0.0012
try_use_as_tool_mean_pred,-0.0302,0.0024
