metric,value
block_id,1J40b-5
implementation_status,pass
seeds,"[101, 103, 107, 109, 113]"
total_objects,180
elapsed_seconds,6.4
pre_mean_return,0.1633
random_mean_return,0.31
post_mean_return_gross,0.45
post_mean_return_net,0.445
oracle_mean_return,0.45
shadow_mean_return_gross,0.45
shadow_mean_return_net,0.445
shadow_pre_gain_net,0.2817
shadow_oracle_gap,0.005
observe_rate,1.0
role_probe_accuracy,0.3333
max_seed_role_probe,0.3333
recursive_leakage_ok,True
seed101_pre,0.1833
seed101_shadow_net,0.445
seed101_oracle,0.45
seed101_obs_rate,1.0
seed103_pre,0.15
seed103_shadow_net,0.445
seed103_oracle,0.45
seed103_obs_rate,1.0
seed107_pre,0.15
seed107_shadow_net,0.445
seed107_oracle,0.45
seed107_obs_rate,1.0
seed109_pre,0.1833
seed109_shadow_net,0.445
seed109_oracle,0.45
seed109_obs_rate,1.0
seed113_pre,0.15
seed113_shadow_net,0.445
seed113_oracle,0.45
seed113_obs_rate,1.0
cat_wood_log_shadow_net,0.445
cat_wood_log_oracle,0.45
cat_stone_block_shadow_net,0.445
cat_stone_block_oracle,0.45
cat_apple_shadow_net,0.445
cat_apple_oracle,0.45
cat_wooden_pickaxe_shadow_net,0.445
cat_wooden_pickaxe_oracle,0.45
