metric,value
block_id,1J40b-7a
implementation_status,pass
seeds,"[101, 103, 107, 109, 113]"
total_objects,180
elapsed_seconds,12.4
observe_cost_default,0.005
three_world_separation,PASS
positive_net_count,120
positive_net_rate,0.6667
non_positive_net_count,60
non_positive_net_rate,0.3333
cost_only_count,60
positive_change_count,120
confirmatory_count,0
wasteful_cost_only_count,60
no_observe_pre_only,0.25
always_try,0.25
always_observe_net,0.445
random_observe,0.3474
oracle_selective,0.4467
oracle_selective_obs_rate,0.6667
sel_vs_always_observe,0.0017
sel_vs_always_try,0.1967
pre_mean_return,0.25
oracle_mean_return,0.45
pre_oracle_gap,0.2
max_single_feature_voi_acc,0.6667
nfeat_voi_acc,0.6667
nfeat_voi_corr,-0.686
category_voi_acc,0.6667
pre_signature_voi_acc,0.6667
full_visible_voi_probe_acc,0.6667
shared_features_in_both_voi,10
check_three_world_separation,PASS
check_forbidden_fields_absent,PASS
check_hidden_before_reveal_clean,PASS
check_positive_net_exists,PASS
check_positive_net_not_universal,PASS
check_every_category_has_non_positive_net,PASS
check_each_category_has_mixed_rationale,PASS
check_oracle_selective_beats_always_observe,PASS
check_oracle_selective_beats_always_try,PASS
check_oracle_selective_is_selective,PASS
check_no_single_feature_shortcut,PASS
check_no_feature_pair_shortcut,PASS
check_n_features_known_overlap,PASS
check_shared_feature_in_both_voi_classes,PASS
check_category_not_determine_voi,PASS
check_feature_count_not_strongly_corr_voi,PASS
check_pre_oracle_uses_legal_signature_only,PASS
check_observe_cost_calibration_passed,PASS
