metric,value
block_id,1J40b-7c
implementation_status,FAIL
elapsed_seconds,4.4
primary_0.03_a_status,FAIL
primary_0.03_a_policy_net,0.42
primary_0.03_a_always_obs,0.42
primary_0.03_a_obs_rate,1.0
primary_0.03_a_pos_obs,1.0
primary_0.03_a_nonpos_obs,1.0
primary_0.03_b_status,FAIL
primary_0.03_b_policy_net,0.42
primary_0.03_b_always_obs,0.42
primary_0.03_b_obs_rate,1.0
primary_0.03_b_pos_obs,1.0
primary_0.03_b_nonpos_obs,1.0
primary_0.03_c_status,PASS
primary_0.03_c_policy_net,0.43
primary_0.03_c_always_obs,0.42
primary_0.03_c_obs_rate,0.6667
primary_0.03_c_pos_obs,1.0
primary_0.03_c_nonpos_obs,0.0
robustness_0.05_a_status,FAIL
robustness_0.05_a_policy_net,0.4
robustness_0.05_a_always_obs,0.4
robustness_0.05_a_obs_rate,1.0
robustness_0.05_a_pos_obs,1.0
robustness_0.05_a_nonpos_obs,1.0
robustness_0.05_b_status,FAIL
robustness_0.05_b_policy_net,0.4
robustness_0.05_b_always_obs,0.4
robustness_0.05_b_obs_rate,1.0
robustness_0.05_b_pos_obs,1.0
robustness_0.05_b_nonpos_obs,1.0
robustness_0.05_c_status,PASS
robustness_0.05_c_policy_net,0.4167
robustness_0.05_c_always_obs,0.4
robustness_0.05_c_obs_rate,0.6667
robustness_0.05_c_pos_obs,1.0
robustness_0.05_c_nonpos_obs,0.0
