distribution,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle_selective,observe_rate,pos_obs_rate,nonpos_obs_rate,harmful_obs_rate,n_test_objects,n_test_signatures,n_non_global_estimates,n_fallbacks,fallback_rate,mean_estimated_E,min_estimated_E,max_estimated_E,strict_beats_always_observe,material_beats_always_observe_005,material_beats_always_observe_010
counterfactual_cov0.25,0.01,A,exact_signature_oracle_belief,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.170000,0.167778,0.172222,False,False,False
counterfactual_cov0.25,0.01,A,level1_cue_marginal,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.168500,0.152667,0.183333,False,False,False
counterfactual_cov0.25,0.01,A,level2_knn_jaccard_k3,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.158345,0.153495,0.164023,False,False,False
counterfactual_cov0.25,0.01,A,level3_candidate_set_tau0.5,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.170000,0.163333,0.176667,False,False,False
counterfactual_cov0.25,0.01,B,exact_signature_oracle_belief,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.172222,0.172222,0.172222,False,False,False
counterfactual_cov0.25,0.01,B,level1_cue_marginal,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.179000,0.176667,0.183333,False,False,False
counterfactual_cov0.25,0.01,B,level2_knn_jaccard_k3,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.161609,0.160000,0.164023,False,False,False
counterfactual_cov0.25,0.01,B,level3_candidate_set_tau0.5,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.176667,0.176667,0.176667,False,False,False
counterfactual_cov0.25,0.01,C,exact_signature_oracle_belief,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.166875,0.140000,0.215000,False,False,False
counterfactual_cov0.25,0.01,C,level1_cue_marginal,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.172472,0.160000,0.183333,False,False,False
counterfactual_cov0.25,0.01,C,level2_knn_jaccard_k3,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.172806,0.154894,0.186622,False,False,False
counterfactual_cov0.25,0.01,C,level3_candidate_set_tau0.5,0.440000,0.250000,0.440000,0.443333,0.000000,0.190000,0.003333,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.175833,0.165000,0.181667,False,False,False
counterfactual_cov0.25,0.03,A,exact_signature_oracle_belief,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.150000,0.147778,0.152222,False,False,False
counterfactual_cov0.25,0.03,A,level1_cue_marginal,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.148500,0.132667,0.163333,False,False,False
counterfactual_cov0.25,0.03,A,level2_knn_jaccard_k3,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.138345,0.133495,0.144023,False,False,False
counterfactual_cov0.25,0.03,A,level3_candidate_set_tau0.5,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.150000,0.143333,0.156667,False,False,False
counterfactual_cov0.25,0.03,B,exact_signature_oracle_belief,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.152222,0.152222,0.152222,False,False,False
counterfactual_cov0.25,0.03,B,level1_cue_marginal,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.159000,0.156667,0.163333,False,False,False
counterfactual_cov0.25,0.03,B,level2_knn_jaccard_k3,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.141609,0.140000,0.144023,False,False,False
counterfactual_cov0.25,0.03,B,level3_candidate_set_tau0.5,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.156667,0.156667,0.156667,False,False,False
counterfactual_cov0.25,0.03,C,exact_signature_oracle_belief,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.146875,0.120000,0.195000,False,False,False
counterfactual_cov0.25,0.03,C,level1_cue_marginal,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.152472,0.140000,0.163333,False,False,False
counterfactual_cov0.25,0.03,C,level2_knn_jaccard_k3,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.152806,0.134894,0.166622,False,False,False
counterfactual_cov0.25,0.03,C,level3_candidate_set_tau0.5,0.420000,0.250000,0.420000,0.430000,0.000000,0.170000,0.010000,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.155833,0.145000,0.161667,False,False,False
counterfactual_cov0.25,0.05,A,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,0,2,1.000000,0.130000,0.127778,0.132222,False,False,False
counterfactual_cov0.25,0.05,A,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.128500,0.112667,0.143333,False,False,False
counterfactual_cov0.25,0.05,A,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.118345,0.113495,0.124023,False,False,False
counterfactual_cov0.25,0.05,A,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,2,2,0,0.000000,0.130000,0.123333,0.136667,False,False,False
counterfactual_cov0.25,0.05,B,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,0,2,1.000000,0.132222,0.132222,0.132222,False,False,False
counterfactual_cov0.25,0.05,B,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.139000,0.136667,0.143333,False,False,False
counterfactual_cov0.25,0.05,B,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.121609,0.120000,0.124023,False,False,False
counterfactual_cov0.25,0.05,B,level3_candidate_set_tau0.5,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,90,2,2,0,0.000000,0.136667,0.136667,0.136667,False,False,False
counterfactual_cov0.25,0.05,C,exact_signature_oracle_belief,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.126875,0.100000,0.175000,False,False,False
counterfactual_cov0.25,0.05,C,level1_cue_marginal,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.132472,0.120000,0.143333,False,False,False
counterfactual_cov0.25,0.05,C,level2_knn_jaccard_k3,0.400000,0.250000,0.400000,0.416667,0.000000,0.150000,0.016667,1.000000,1.000000,1.000000,0.333333,180,8,8,0,0.000000,0.132806,0.114894,0.146622,False,False,False
