distribution,observe_cost,test_type,level,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,positive_net_rate,mean_true_E_observe_net,mean_true_E_positive,mean_true_E_nonpositive,estimated_E_mean,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,non_global_rate,pearson_corr_estimatedE_trueE,observe_rate,policy_net_if_available,delta_vs_always_observe_if_available
original,0.01,A,exact_signature_oracle_belief,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.190000,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.440000,0.000000
original,0.01,A,level1_cue_marginal,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.185000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.688247,1.000000,0.440000,0.000000
original,0.01,A,level2_knn_jaccard_k3,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.152544,0.666667,0.333333,0.000000,0.000000,1.000000,-0.677161,1.000000,0.440000,0.000000
original,0.01,A,level3_candidate_set_tau0.5,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.190000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.440000,0.000000
original,0.01,B,exact_signature_oracle_belief,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.190000,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.440000,0.000000
original,0.01,B,level1_cue_marginal,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.200000,0.666667,0.333333,0.000000,0.000000,1.000000,-1.000000,1.000000,0.440000,0.000000
original,0.01,B,level2_knn_jaccard_k3,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.146034,0.666667,0.333333,0.000000,0.000000,1.000000,-1.000000,1.000000,0.440000,0.000000
original,0.01,B,level3_candidate_set_tau0.5,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.190000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.440000,0.000000
original,0.01,C,exact_signature_oracle_belief,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.140000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.666667,0.443333,0.003333
original,0.01,C,level1_cue_marginal,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.171667,0.666667,0.333333,0.000000,0.000000,1.000000,0.991837,1.000000,0.440000,0.000000
original,0.01,C,level2_knn_jaccard_k3,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.173162,0.666667,0.333333,0.000000,0.000000,1.000000,0.750632,1.000000,0.440000,0.000000
original,0.01,C,level3_candidate_set_tau0.5,0.250000,0.440000,0.443333,0.003333,0.666667,0.140000,0.290000,-0.010000,0.190000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.440000,0.000000
original,0.03,A,exact_signature_oracle_belief,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.170000,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.420000,0.000000
original,0.03,A,level1_cue_marginal,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.165000,0.666667,0.333333,0.000000,0.000000,1.000000,-0.688247,1.000000,0.420000,0.000000
original,0.03,A,level2_knn_jaccard_k3,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.132544,0.666667,0.333333,0.000000,0.000000,1.000000,-0.677161,1.000000,0.420000,0.000000
original,0.03,A,level3_candidate_set_tau0.5,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.170000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.420000,0.000000
original,0.03,B,exact_signature_oracle_belief,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.170000,0.666667,0.333333,0.000000,1.000000,0.000000,,1.000000,0.420000,0.000000
original,0.03,B,level1_cue_marginal,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.180000,0.666667,0.333333,0.000000,0.000000,1.000000,-1.000000,1.000000,0.420000,0.000000
original,0.03,B,level2_knn_jaccard_k3,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.126034,0.666667,0.333333,0.000000,0.000000,1.000000,-1.000000,1.000000,0.420000,0.000000
original,0.03,B,level3_candidate_set_tau0.5,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.170000,0.666667,0.333333,0.000000,0.000000,1.000000,,1.000000,0.420000,0.000000
original,0.03,C,exact_signature_oracle_belief,0.250000,0.420000,0.430000,0.010000,0.666667,0.120000,0.270000,-0.030000,0.120000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.666667,0.430000,0.010000
