metric,value
new_condition,C6_observe_try_counterfactual_v0
schedule_label_removed_from_agent_visible,True
recursive_leakage_check_passed,True
total_objects,36
total_events,264
no_observe_try_count,72
one_observe_try_count,72
repeated_observe_try_count,72
matched_schedule_group_count,12
comparable_observe_try_set_count,24
complete_action_set_count,36
partial_action_set_count,0
delayed_credit_available,True
delayed_observe_benefit_detectable,True
delayed_credit_overattribution_risk,False
mean_delayed_per_try,0.0833
observe_helps_advantage,0.6
observe_neutral_advantage,0.45
observe_wasteful_advantage,0.45
role_sanity_pass,True
observe_advantage_vs_matched_no_observe,0.0
observe_advantage_vs_one_observe,0.0
combined_observe_can_exceed_try,True
observe_immediate_mean,0.25
observe_delayed_raw_mean,0.5
observe_delayed_discounted_mean,0.432
observe_delayed_per_try_mean,0.0833
try_value_max,0.45
no_observe_success_rate,0.3889
one_observe_success_rate,0.3889
repeated_observe_success_rate,0.3889
audit_label_leakage_detected,False
old_c4_preserved,True
old_c5_preserved,True
policy_decisions_changed,False
implementation_status,pass
