metric,value
block_id,1J40b-env2
new_condition,C6_observe_try_counterfactual_v0
seeds,"[101, 103, 107, 109, 113]"
total_objects_all_seeds,180
role_probe_accuracy,0.3333
mean_role_probe_accuracy,0.3333
std_role_probe_accuracy,0.0
max_seed_role_probe_accuracy,0.3333
role_probe_threshold,0.45
direct_role_marker_detected,False
visible_feature_role_balance_passed,True
max_role_gap_per_feature,0.0
feature_pairs_exclusive_count,0
features_in_all_roles,24
features_in_2_roles,0
features_in_1_role,0
observe_helps_advantage,0.1
observe_neutral_advantage,0.0
observe_wasteful_advantage,0.0
role_sanity_pass,True
expected_observe_advantage_positive,True
post_observe_improvement_detected,True
post_observe_source_clean,True
hidden_timing_audit_passed,True
delayed_credit_overattribution_risk,False
recursive_leakage_check_passed,True
old_c4_preserved,True
old_c5_preserved,True
implementation_status,pass
elapsed_seconds,2.3
