metric,value
block_id,1J40b-env3
implementation_status,pass
seeds,"[101, 103, 107, 109, 113]"
total_objects_all_seeds,180
elapsed_seconds,23.8
category_probe_ambient,0.5
category_probe_core,1.0
category_probe_diagnostic,1.0
category_probe_core_plus_diagnostic,1.0
pre_mean_true_return_randomized,0.1711
pre_mean_true_return_fixed,0.17
oracle_mean_true_return,0.45
pre_oracle_gap_randomized,0.2789
post_core_only_return,0.45
post_diagnostic_only_return,0.45
post_full_return,0.45
post_pre_gain,0.2789
post_oracle_gap,0.0
positive_gain_rate,0.9667
best_action_change_rate,1.0
mean_all_try_return_pre,0.025
mean_all_try_return_post,0.0583
best_action_selected_return_pre,0.1711
best_action_selected_return_post,0.45
full_role_probe_accuracy,0.3333
max_seed_role_probe,0.3333
feature_pairs_exclusive,0
direct_role_marker_detected,False
hidden_timing_audit_passed,True
recursive_leakage_check_passed,True
overall_acceptance,PASS
