seed,variant,bridge_mode,n_related_observed,structured_score,bridge_required_score,null_control_score,boundary_score,delta_vs_similarity_only,delta_vs_always_observe,gap_to_oracle,signal_strategy_count,learned_strategy_cluster_count,average_cluster_size,cluster_purity_audit,bridge_merge_success_rate,false_merge_rate,false_split_rate,overgeneralization_rate_before_update,overgeneralization_rate_after_update,boundary_failure_count,boundary_exclusion_count,confidence_drop_after_failure,average_strategy_confidence,support_case_count,failure_case_count,confidence_vs_success_correlation,null_false_discovery_rate,no_hidden_fields_in_learner_input
101,structured,no_bridge,0,0.5,0.5,0.64,0.82,0.0,-0.28,0.28,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
101,null_control,no_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
101,structured,with_bridge,0,0.78,0.78,0.64,0.82,0.28,0.0,0.0,100,4,27.0,1.0,1.0,0.0,0.0,1.0,0.0,8,8,0.5647058823529412,0.7062462098241359,108,8,0.9617534886025138,0.5,True
101,null_control,with_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
101,structured,no_bridge,1,0.5875,0.5,0.64,0.82,0.06999999999999995,-0.1925,0.1925,97,4,26.25,1.0,0.0,0.0,0.0,0.0,0.0,2,4,0.3,0.6974226804123712,105,2,0.9655133067700931,0.125,True
101,null_control,no_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
101,structured,with_bridge,1,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,101,4,27.25,1.0,1.0,0.0,0.0,1.0,0.0,8,8,0.5555555555555556,0.7168671248568156,109,8,0.9563726256206627,0.5,True
101,null_control,with_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
101,structured,no_bridge,2,0.6225,0.5,0.64,0.82,0.10499999999999998,-0.15750000000000003,0.15750000000000003,98,4,26.5,1.0,0.0,0.0,0.0,0.25,0.0,2,4,0.3333333333333333,0.7307560137457045,106,2,0.947491238099385,0.25,True
101,null_control,no_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,96,3,34.666666666666664,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.8632302405498282,104,0,,0.0,True
