seed,variant,bridge_mode,n_related_observed,structured_score,bridge_required_score,null_control_score,boundary_score,delta_vs_similarity_only,delta_vs_always_observe,gap_to_oracle,event_memory_count,object_memory_count,outcome_memory_count,common_sense_record_count,experience_record_count,common_sense_support_rate,common_sense_failure_rate,common_sense_boundary_coverage,common_sense_bridge_coverage,audit_purity_of_common_sense_records,experience_trigger_precision,experience_trigger_recall,experience_success_rate,experience_false_application_rate,experience_confidence_vs_success_correlation,overgeneralization_rate_before_update,overgeneralization_rate_after_update,boundary_rule_count,bridge_supported_record_count,null_control_false_discovery_rate,stable_false_record_count,no_hidden_fields_in_memory_records
101,structured,no_bridge,0,0.5,0.5,0.64,0.82,0.0,-0.28,0.28,200,24,40,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,null_control,no_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,200,24,40,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,with_bridge,0,0.78,0.78,0.64,0.82,0.28,0.0,0.0,216,28,56,4,4,0.8333333333333334,0.16666666666666666,0.25,0.25,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,8,1,0.5,0,True
101,null_control,with_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,208,28,48,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,no_bridge,1,0.5875,0.5,0.64,0.82,0.06999999999999995,-0.1925,0.1925,204,25,44,4,4,0.8333333333333334,0.16666666666666666,0.25,0.0,1.0,1.0,0.3125,0.78,0.0,,0.0,0.0,4,0,0.125,0,True
101,null_control,no_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,202,25,42,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,with_bridge,1,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,218,29,58,4,4,0.8461538461538461,0.15384615384615385,0.25,0.25,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,8,1,0.5,0,True
101,null_control,with_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,210,29,50,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,no_bridge,2,0.6225,0.5,0.64,0.82,0.10499999999999998,-0.15750000000000003,0.15750000000000003,206,26,46,4,4,0.875,0.125,0.25,0.0,1.0,1.0,0.4375,0.78,0.0,,0.25,0.0,4,0,0.25,0,True
101,null_control,no_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,204,26,44,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,with_bridge,2,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,220,30,60,4,4,0.8571428571428571,0.14285714285714285,0.25,0.25,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,12,1,0.125,0,True
101,null_control,with_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,212,30,52,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,no_bridge,4,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,210,27,48,5,5,0.9199999999999999,0.08,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,4,0,0.25,0,True
101,null_control,no_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,208,27,46,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,with_bridge,4,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,224,31,62,5,5,0.8933333333333333,0.10666666666666666,0.2,0.2,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,12,1,0.25,0,True
101,null_control,with_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,216,31,54,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,no_bridge,8,0.64,0.5,0.64,0.82,0.08750000000000002,-0.14,0.14,220,30,56,5,5,0.9199999999999999,0.08,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,5,0,0.25,1,True
101,null_control,no_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,216,30,52,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,with_bridge,8,0.78,0.78,0.64,0.82,0.22750000000000004,0.0,0.0,232,34,68,5,5,0.9111111111111111,0.08888888888888888,0.2,0.2,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,11,1,0.25,1,True
101,null_control,with_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,224,34,60,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,no_bridge,16,0.64,0.5,0.64,0.82,0.06999999999999995,-0.14,0.14,236,32,60,5,5,0.9555555555555555,0.04444444444444444,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,4,0,0.25,2,True
101,null_control,no_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,232,32,56,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
101,structured,with_bridge,16,0.78,0.78,0.64,0.82,0.20999999999999996,0.0,0.0,248,36,72,5,5,0.9384615384615385,0.06153846153846154,0.2,0.2,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,11,1,0.25,1,True
101,null_control,with_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,240,36,64,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,no_bridge,0,0.5,0.5,0.64,0.82,0.0,-0.28,0.28,200,24,40,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,null_control,no_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,200,24,40,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,with_bridge,0,0.78,0.78,0.64,0.82,0.28,0.0,0.0,216,28,56,5,5,0.8545454545454545,0.14545454545454545,0.2,0.4,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,10,2,0.5,0,True
207,null_control,with_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,208,28,48,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,no_bridge,1,0.5875,0.5,0.64,0.82,0.06999999999999995,-0.1925,0.1925,204,25,44,4,4,0.8333333333333334,0.16666666666666666,0.25,0.0,1.0,1.0,0.3125,0.78,0.0,,0.0,0.0,4,0,0.125,0,True
207,null_control,no_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,202,25,42,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,with_bridge,1,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,218,29,58,6,6,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.5,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,16,3,0.5,0,True
207,null_control,with_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,210,29,50,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,no_bridge,2,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,206,26,46,5,5,0.8666666666666666,0.13333333333333333,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.25,0.0,4,0,0.25,0,True
207,null_control,no_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,204,26,44,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,with_bridge,2,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,220,30,60,7,7,0.7904761904761904,0.20952380952380953,0.2857142857142857,0.5714285714285714,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,16,4,0.5,1,True
207,null_control,with_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,212,30,52,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,no_bridge,4,0.64,0.5,0.64,0.82,0.10499999999999998,-0.14,0.14,212,28,52,5,5,0.8,0.2,0.4,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,8,0,0.25,0,True
207,null_control,no_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,208,28,48,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,with_bridge,4,0.78,0.78,0.64,0.82,0.245,0.0,0.0,224,32,64,5,5,0.7968253968253969,0.20317460317460317,0.4,0.4,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,19,2,0.5,0,True
207,null_control,with_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,216,32,56,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,no_bridge,8,0.64,0.5,0.64,0.82,0.08750000000000002,-0.14,0.14,220,30,56,5,5,0.9199999999999999,0.08,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,5,0,0.25,1,True
207,null_control,no_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,216,30,52,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,with_bridge,8,0.78,0.78,0.64,0.82,0.22750000000000004,0.0,0.0,232,34,68,5,5,0.9111111111111111,0.08888888888888888,0.2,0.2,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,11,1,0.25,1,True
207,null_control,with_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,224,34,60,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,no_bridge,16,0.64,0.5,0.64,0.82,0.06999999999999995,-0.14,0.14,236,32,60,5,5,0.9555555555555555,0.04444444444444444,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,4,0,0.25,2,True
207,null_control,no_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,232,32,56,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
207,structured,with_bridge,16,0.78,0.78,0.64,0.82,0.20999999999999996,0.0,0.0,248,36,72,5,5,0.9384615384615385,0.06153846153846154,0.2,0.2,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,11,1,0.25,1,True
207,null_control,with_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,240,36,64,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,no_bridge,0,0.5,0.5,0.64,0.82,0.0,-0.28,0.28,200,24,40,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,null_control,no_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,200,24,40,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,with_bridge,0,0.78,0.78,0.64,0.82,0.28,0.0,0.0,216,28,56,5,5,0.8545454545454545,0.14545454545454545,0.2,0.4,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,10,2,0.5,0,True
404,null_control,with_bridge,0,0.64,0.64,0.64,0.82,0.0,0.0,0.0,208,28,48,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,no_bridge,1,0.5875,0.5,0.64,0.82,0.06999999999999995,-0.1925,0.1925,204,25,44,4,4,0.8333333333333334,0.16666666666666666,0.25,0.0,1.0,1.0,0.3125,0.78,0.0,,0.0,0.0,4,0,0.125,0,True
404,null_control,no_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,202,25,42,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,with_bridge,1,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,218,29,58,6,6,0.7777777777777778,0.2222222222222222,0.3333333333333333,0.5,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,16,3,0.5,0,True
404,null_control,with_bridge,1,0.64,0.64,0.64,0.82,0.0,0.0,0.0,210,29,50,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,no_bridge,2,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,206,26,46,5,5,0.8666666666666666,0.13333333333333333,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.25,0.0,4,0,0.25,0,True
404,null_control,no_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,204,26,44,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,with_bridge,2,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,220,30,60,7,7,0.7904761904761904,0.20952380952380953,0.2857142857142857,0.5714285714285714,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,16,4,0.5,1,True
404,null_control,with_bridge,2,0.64,0.64,0.64,0.82,0.0,0.0,0.0,212,30,52,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,no_bridge,4,0.64,0.5,0.64,0.82,0.12249999999999994,-0.14,0.14,210,28,50,5,5,0.9,0.1,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,4,0,0.25,1,True
404,null_control,no_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,208,28,48,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,with_bridge,4,0.78,0.78,0.64,0.82,0.26249999999999996,0.0,0.0,224,32,64,6,6,0.7925925925925926,0.2074074074074074,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,17,2,0.5,1,True
404,null_control,with_bridge,4,0.64,0.64,0.64,0.82,0.0,0.0,0.0,216,32,56,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,no_bridge,8,0.64,0.5,0.64,0.82,0.10499999999999998,-0.14,0.14,220,29,54,5,5,0.8628571428571428,0.13714285714285715,0.4,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,10,0,0.25,0,True
404,null_control,no_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,216,29,50,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,with_bridge,8,0.78,0.78,0.64,0.82,0.245,0.0,0.0,232,33,66,5,5,0.8333333333333334,0.16666666666666666,0.4,0.4,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,21,2,0.375,0,True
404,null_control,with_bridge,8,0.64,0.64,0.64,0.82,0.0,0.0,0.0,224,33,58,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,no_bridge,16,0.64,0.5,0.64,0.82,0.06999999999999995,-0.14,0.14,236,32,60,5,5,0.9529411764705882,0.047058823529411764,0.2,0.0,1.0,1.0,0.5,0.78,0.0,,0.5,0.0,5,0,0.25,2,True
404,null_control,no_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,232,32,56,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
404,structured,with_bridge,16,0.78,0.78,0.64,0.82,0.20999999999999996,0.0,0.0,248,36,72,5,5,0.9359999999999999,0.064,0.2,0.2,1.0,1.0,1.0,0.78,0.0,,1.0,0.0,11,1,0.25,1,True
404,null_control,with_bridge,16,0.64,0.64,0.64,0.82,0.0,0.0,0.0,240,36,64,3,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0,0,0.0,0,True
