seed,env_id,random_return,1j43b_probe_return,1j43c_probe_return,rediscovered_target_completion_probe_return,delta_vs_random,delta_vs_1j43b,delta_vs_1j43c,success_proxy_rate,visible_target_success_rate,target_not_visible_fallback_success_rate,target_discovery_rate,target_rediscovered_count,rediscovered_to_bridge_handoff_rate,rediscovered_to_adjacent_rate,rediscovered_to_interaction_attempt_rate,rediscovered_to_success_rate,bridge_control_stolen_by_fallback_count,steps_until_target_visible,repeated_observation_rate,stuck_loop_count,wall_collision_or_blocked_forward_count,new_observation_signature_rate,timeout_rate,not_approached_after_rediscovery,adjacent_not_facing,facing_no_interaction,interaction_no_reward,timeout_after_rediscovery,target_visible_rate,target_adjacent_rate,action_bridge_coverage,mission_parse_success_rate,unsupported_mission_count,event_memory_count,object_memory_count,outcome_memory_count,common_sense_record_count,experience_record_count,goal_context_coverage,confidence_update_available,boundary_rule_available,confidence_update_count,boundary_rule_count,action_distribution,hidden_leakage,audit_only_fields_absent,legal_observation_only,three_world_separation
101,BabyAI-GoToObj-v0,0.098828125,0.131015625,0.16695312499999998,0.16695312499999998,0.06812499999999998,0.03593749999999998,0.0,0.2,0.2,0.0,1.0,10,1.0,0.0,0.0,0.4,0,6.0,0.9430438842203548,21,67,0.10102449633699633,0.8,0,0,0,0,0,0.7777777777777778,0.059757236227824466,0.7777777777777778,1.0,0,450,10,125,5,5,1.0,True,True,15,19,"{'turn_right': 455, 'turn_left': 565, 'move_forward': 51}",False,True,True,True
101,BabyAI-GoToRedBall-v0,0.147265625,0.08453125,0.121875,0.121875,-0.025390625000000014,0.037343749999999995,0.0,0.15,0.15,0.0,1.0,11,1.0,0.09090909090909091,0.0,0.2727272727272727,0,7.545454545454546,0.9113475177304965,20,93,0.15469990079365079,0.85,0,0,0,0,0,0.7367021276595744,0.05585106382978723,0.7367021276595744,1.0,0,388,34,129,7,7,1.0,True,True,21,36,"{'turn_left': 655, 'turn_right': 407, 'move_forward': 66}",False,True,True,True
101,BabyAI-Pickup-v0,0.061406249999999996,0.0,0.09859375000000001,0.09859375000000001,0.03718750000000001,0.09859375000000001,0.0,0.1,0.5,0.0,0.15789473684210525,3,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,4.0,0.9839206624301945,85,1468,0.05755208333333334,0.9,1,0,0,0,1,0.06999807433082997,0.05565183901405738,0.06999807433082997,1.0,0,4504,45,406,9,9,1.0,True,True,27,41,"{'move_forward': 215, 'turn_right': 2003, 'turn_left': 8166, 'pickup': 2}",False,True,True,True
101,BabyAI-OpenDoor-v0,0.234609375,0.29679687499999996,0.344765625,0.344765625,0.11015625000000001,0.04796875000000006,0.0,0.35,0.35,0.0,1.0,8,1.0,0.375,0.375,0.375,0,7.375,0.9899404367968233,34,593,0.20458333333333334,0.65,5,0,0,0,5,0.6893448047650562,0.1528788881535407,0.6893448047650562,1.0,0,3805,30,419,4,4,1.0,True,True,12,29,"{'turn_right': 3439, 'move_forward': 75, 'toggle': 1155, 'turn_left': 2886}",False,True,True,True
207,BabyAI-GoToObj-v0,0.085546875,0.39796875,0.30851562499999996,0.30851562499999996,0.22296874999999997,-0.08945312500000002,0.0,0.35,0.35,0.0,1.0,12,1.0,0.0,0.0,0.25,0,6.416666666666667,0.9236812570145904,43,124,0.18883699633699633,0.65,0,0,0,0,0,0.40291806958473625,0.0,0.40291806958473625,1.0,0,450,11,117,5,5,1.0,True,True,15,15,"{'turn_left': 369, 'move_forward': 87, 'turn_right': 435}",False,True,True,True
207,BabyAI-GoToRedBall-v0,0.2509375,0.239453125,0.23453125,0.279609375,0.028671875000000013,0.040156250000000004,0.045078125,0.3,0.3,0.0,1.0,11,1.0,0.18181818181818182,0.0,0.09090909090909091,0,8.636363636363637,0.8810810810810811,29,198,0.30881696428571426,0.7,0,0,0,0,0,0.5351351351351351,0.20540540540540542,0.5351351351351351,1.0,0,229,30,98,7,7,1.0,True,True,21,33,"{'turn_right': 417, 'turn_left': 425, 'move_forward': 83}",False,True,True,True
207,BabyAI-Pickup-v0,0.11937500000000001,0.0,0.049375,0.049375,-0.07,0.049375,0.0,0.05,0.2,0.0,0.16666666666666666,3,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,5.333333333333333,0.9856647187728269,85,1330,0.03211805555555556,0.95,2,0,0,0,2,0.17056245434623812,9.130752373995617e-05,0.17056245434623812,1.0,0,3670,50,461,12,12,1.0,True,True,36,38,"{'move_forward': 192, 'turn_left': 9293, 'turn_right': 1466, 'pickup': 1}",False,True,True,True
207,BabyAI-OpenDoor-v0,0.376328125,0.19789062500000001,0.14890625,0.14890625,-0.22742187500000002,-0.048984375000000024,0.0,0.15,0.15,0.0,1.0,7,1.0,0.0,0.0,0.0,0,9.0,0.9919437079339181,32,440,0.10625,0.85,7,0,0,0,7,0.6888639608403019,0.23506016724454415,0.6888639608403019,1.0,0,4123,28,344,5,5,1.0,True,True,15,18,"{'turn_right': 4309, 'turn_left': 4857, 'toggle': 577, 'move_forward': 63}",False,True,True,True
404,BabyAI-GoToObj-v0,0.138125,0.321875,0.49234375,0.49234375,0.35421875,0.17046875,0.0,0.55,0.55,0.0,1.0,13,1.0,0.0,0.0,0.5384615384615384,0,4.6923076923076925,0.9072948328267477,30,113,0.2882068452380952,0.45,0,0,0,0,0,0.5516717325227963,0.0972644376899696,0.5516717325227963,1.0,0,398,12,104,7,7,1.0,True,True,21,18,"{'turn_left': 277, 'turn_right': 305, 'move_forward': 76}",False,True,True,True
404,BabyAI-GoToRedBall-v0,0.07476562499999999,0.1359375,0.17046875,0.17046875,0.09570312500000001,0.03453125000000001,0.0,0.2,0.2,0.0,1.0,15,1.0,0.0,0.0,0.2,0,6.266666666666667,0.8883677298311444,30,132,0.22084009740259739,0.8,0,0,0,0,0,0.7045028142589118,0.1200750469043152,0.7045028142589118,1.0,0,340,30,131,8,8,1.0,True,True,24,30,"{'turn_left': 438, 'turn_right': 548, 'move_forward': 80}",False,True,True,True
