episode,step,object_id,family,dev_feats_present,action,base_prior,risk_penalty_raw,risk_penalty_clipped,scaled_penalty,raw_score,final_score,per_feat_weights,ground_truth_outcome,is_prior_violation,was_selected
0,0,test_wooden_pickaxe_007,tool-like,,mine_by_hand,0.25,0,0,0.0,0.233333,0.233333,,unknown,False,False
0,0,test_wooden_pickaxe_007,tool-like,,mine_with_pickaxe,0.25,0,0,0.0,0.233333,0.233333,,unknown,False,False
0,0,test_wooden_pickaxe_007,tool-like,,craft_plank,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,0,test_wooden_pickaxe_007,tool-like,,eat,0.1,0,0,0.0,0.083333,0.083333,,unknown,False,False
0,0,test_wooden_pickaxe_007,tool-like,,use_as_tool,0.85,0,0,0.0,0.833333,0.833333,,unknown,False,True
0,0,test_wooden_pickaxe_007,tool-like,,burn_as_fuel,0.6,0,0,0.0,0.583333,0.583333,,unknown,False,False
0,1,test_apple_007,apple-like,"brittle_surface,damp_texture",mine_by_hand,0.15,0,0,0.0,0.133333,0.133333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,1,test_apple_007,apple-like,"brittle_surface,damp_texture",mine_with_pickaxe,0.15,0,0,0.0,0.133333,0.133333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,1,test_apple_007,apple-like,"brittle_surface,damp_texture",craft_plank,0.1,0,0,0.0,0.083333,0.083333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,1,test_apple_007,apple-like,"brittle_surface,damp_texture",eat,0.85,0,0,0.0,0.833333,0.833333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,True
0,1,test_apple_007,apple-like,"brittle_surface,damp_texture",use_as_tool,0.1,0,0,0.0,0.083333,0.083333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,1,test_apple_007,apple-like,"brittle_surface,damp_texture",burn_as_fuel,0.15,0,0,0.0,0.133333,0.133333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,2,test_apple_012,stone-like,,mine_by_hand,0.85,0,0,0.0,0.833333,0.833333,,unknown,False,True
0,2,test_apple_012,stone-like,,mine_with_pickaxe,0.85,0,0,0.0,0.833333,0.833333,,unknown,False,False
0,2,test_apple_012,stone-like,,craft_plank,0.1,0,0,0.0,0.083333,0.083333,,unknown,False,False
0,2,test_apple_012,stone-like,,eat,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,2,test_apple_012,stone-like,,use_as_tool,0.1,0,0,0.0,0.083333,0.083333,,unknown,False,False
0,2,test_apple_012,stone-like,,burn_as_fuel,0.1,0,0,0.0,0.083333,0.083333,,unknown,False,False
0,3,test_wood_log_005,wood-like,,mine_by_hand,0.25,0,0,0.0,0.233333,0.233333,,unknown,False,False
0,3,test_wood_log_005,wood-like,,mine_with_pickaxe,0.25,0,0,0.0,0.233333,0.233333,,unknown,False,False
0,3,test_wood_log_005,wood-like,,craft_plank,0.85,0,0,0.0,0.833333,0.833333,,unknown,False,True
0,3,test_wood_log_005,wood-like,,eat,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,3,test_wood_log_005,wood-like,,use_as_tool,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,3,test_wood_log_005,wood-like,,burn_as_fuel,0.85,0,0,0.0,0.833333,0.833333,,unknown,False,False
0,4,test_stone_block_002,apple-like,,mine_by_hand,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,4,test_stone_block_002,apple-like,,mine_with_pickaxe,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,4,test_stone_block_002,apple-like,,craft_plank,0.1,0,0,0.0,0.083333,0.083333,,unknown,False,False
0,4,test_stone_block_002,apple-like,,eat,0.85,0,0,0.0,0.833333,0.833333,,unknown,False,True
0,4,test_stone_block_002,apple-like,,use_as_tool,0.1,0,0,0.0,0.083333,0.083333,,unknown,False,False
0,4,test_stone_block_002,apple-like,,burn_as_fuel,0.15,0,0,0.0,0.133333,0.133333,,unknown,False,False
0,5,test_apple_006,apple-like,"brittle_surface,damp_texture",mine_by_hand,0.15,0,0,0.0,0.133333,0.133333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,5,test_apple_006,apple-like,"brittle_surface,damp_texture",mine_with_pickaxe,0.15,0,0,0.0,0.133333,0.133333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,5,test_apple_006,apple-like,"brittle_surface,damp_texture",craft_plank,0.1,0,0,0.0,0.083333,0.083333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,5,test_apple_006,apple-like,"brittle_surface,damp_texture",eat,0.85,0,0,0.0,0.833333,0.833333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,True
0,5,test_apple_006,apple-like,"brittle_surface,damp_texture",use_as_tool,0.1,0,0,0.0,0.083333,0.083333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,5,test_apple_006,apple-like,"brittle_surface,damp_texture",burn_as_fuel,0.15,0,0,0.0,0.133333,0.133333,damp_texture=0.000000;brittle_surface=0.000000,unknown,False,False
0,6,test_apple_001,wood-like,,mine_by_hand,0.25,0,0,0.0,0.233333,0.233333,,unknown,False,False
