metric,value
observe_record_count,450
try_record_count,2175
observe_try_ratio,0.2069
observe_mean_net_value,0.1012
try_mean_net_value,0.1214
try_max_net_value,0.45
observe_max_net_value,0.325
fraction_try_above_obs_max,0.4524
observe_predicted_Q_mean,0.0304
observe_margin_to_best_try_mean,-0.3319
observe_wins_rate,0.0
post_observe_try_success_rate,0.4524
no_recent_observe_try_success_rate,
delayed_observe_benefit_detected,False
shadow_observe_rate_original,0.0
shadow_observe_rate_balanced,0.0
ablation_action_type_only_mse,0.061594
ablation_action_type_only_shadow_observe_rate,0.0
ablation_situation_without_explanation_mse,0.056284
ablation_situation_without_explanation_shadow_observe_rate,0.0
ablation_situation_with_explanation_mse,0.055253
ablation_situation_with_explanation_shadow_observe_rate,0.0
ablation_observe_specific_features_mse,0.062964
ablation_observe_specific_features_shadow_observe_rate,0.0
ablation_full_model_mse,0.055253
ablation_full_model_shadow_observe_rate,0.0
loso_ablation_action_type_only_mse,0.056856
loso_ablation_action_type_only_shadow_observe_rate,0.0
loso_ablation_situation_without_explanation_mse,0.050761
loso_ablation_situation_without_explanation_shadow_observe_rate,0.0
loso_ablation_situation_with_explanation_mse,0.048209
loso_ablation_situation_with_explanation_shadow_observe_rate,0.0
loso_ablation_observe_specific_features_mse,0.054261
loso_ablation_observe_specific_features_shadow_observe_rate,0.0
loso_ablation_full_model_mse,0.048209
loso_ablation_full_model_shadow_observe_rate,0.0
explanation_features_help_observe_prediction,False
complete_action_set_count,0
top_action_match_available,False
