metric,value
condition,C6_observe_try_counterfactual_v0
total_records,1320
observe_records,240
try_records,1080
switch_records,0
proxy_records_used,0
recursive_leakage_check_passed,True
audit_label_used_as_input,False
heldout_mse,0.026648
heldout_mae,0.094173
mse_global,0.106396
mse_per_action,0.07615
mse_action_type_only,0.076182
ridge_vs_per_action_delta_mse,0.049502
ridge_vs_global_delta_mse,0.079748
ridge_vs_ato_delta_mse,0.049534
overall_shadow_observe_rate,0.3725
observe_rate_on_helps,0.8636
observe_rate_on_neutral,
observe_rate_on_wasteful,
mean_Q_observe_helps,0.5565
mean_Q_observe_neutral,0.2706
mean_Q_observe_wasteful,0.2899
top_action_match_available,True
top_action_match_rate,0.5
loso_avg_mse,0.013296
loso_avg_shadow_observe_rate,0.3636
policy_decisions_changed,False
switch_q_values_created,False
implementation_status,pass
