metric,value
rolesignal_audit_passed,True
hidden_timing_audit_passed,True
no_observe_unrevealed_hidden_count,0
one_observe_unrevealed_hidden_count,0
rolesignal_derived_from_audit,False
hidden_feature_premature_use,False
full_helps_rate,0.8636
full_neutral_rate,
full_wasteful_rate,
no_rolesignal_helps_rate,
no_rolesignal_neutral_rate,0.0625
no_rolesignal_wasteful_rate,
no_hidden_helps_rate,0.5455
no_hidden_neutral_rate,
no_hidden_wasteful_rate,
visible_only_helps_rate,
visible_only_neutral_rate,
visible_only_wasteful_rate,
result_valid_after_audit,False
implementation_status,partial
