metric,value
block_id,1J40b-7b
implementation_status,PASS
elapsed_seconds,2.3
primary_0.03_status,PASS
primary_0.03_pre_mean,0.25
primary_0.03_always_try,0.25
primary_0.03_always_observe_net,0.42
primary_0.03_oracle_selective,0.43
primary_0.03_learned_policy_net,0.43
primary_0.03_learned_minus_always_observe,0.01
primary_0.03_learned_minus_always_try,0.18
primary_0.03_learned_minus_oracle,0.0
primary_0.03_observe_rate,0.6667
primary_0.03_direct_try_rate,0.3333
primary_0.03_pos_net_obs_rate,1.0
primary_0.03_nonpos_net_obs_rate,0.0
primary_0.03_harmful_obs_rate,0.0
primary_0.03_mean_q_error,0.0014
primary_0.03_seed101_pre,0.25
primary_0.03_seed101_policy_net,0.43
primary_0.03_seed101_obs_rate,0.6667
primary_0.03_seed103_pre,0.25
primary_0.03_seed103_policy_net,0.43
primary_0.03_seed103_obs_rate,0.6667
primary_0.03_seed107_pre,0.25
primary_0.03_seed107_policy_net,0.43
primary_0.03_seed107_obs_rate,0.6667
primary_0.03_seed109_pre,0.25
primary_0.03_seed109_policy_net,0.43
primary_0.03_seed109_obs_rate,0.6667
primary_0.03_seed113_pre,0.25
primary_0.03_seed113_policy_net,0.43
primary_0.03_seed113_obs_rate,0.6667
primary_0.03_cat_wood_log_policy_net,0.43
primary_0.03_cat_wood_log_obs_rate,0.6667
primary_0.03_cat_stone_block_policy_net,0.43
primary_0.03_cat_stone_block_obs_rate,0.6667
primary_0.03_cat_apple_policy_net,0.43
primary_0.03_cat_apple_obs_rate,0.6667
primary_0.03_cat_wooden_pickaxe_policy_net,0.43
primary_0.03_cat_wooden_pickaxe_obs_rate,0.6667
robustness_0.05_status,PASS
robustness_0.05_pre_mean,0.25
robustness_0.05_always_try,0.25
robustness_0.05_always_observe_net,0.4
robustness_0.05_oracle_selective,0.4167
robustness_0.05_learned_policy_net,0.4167
robustness_0.05_learned_minus_always_observe,0.0167
robustness_0.05_learned_minus_always_try,0.1667
robustness_0.05_learned_minus_oracle,0.0
robustness_0.05_observe_rate,0.6667
robustness_0.05_direct_try_rate,0.3333
robustness_0.05_pos_net_obs_rate,1.0
robustness_0.05_nonpos_net_obs_rate,0.0
robustness_0.05_harmful_obs_rate,0.0
robustness_0.05_mean_q_error,0.0014
robustness_0.05_seed101_pre,0.25
robustness_0.05_seed101_policy_net,0.4167
robustness_0.05_seed101_obs_rate,0.6667
robustness_0.05_seed103_pre,0.25
robustness_0.05_seed103_policy_net,0.4167
robustness_0.05_seed103_obs_rate,0.6667
robustness_0.05_seed107_pre,0.25
robustness_0.05_seed107_policy_net,0.4167
robustness_0.05_seed107_obs_rate,0.6667
robustness_0.05_seed109_pre,0.25
robustness_0.05_seed109_policy_net,0.4167
robustness_0.05_seed109_obs_rate,0.6667
robustness_0.05_seed113_pre,0.25
robustness_0.05_seed113_policy_net,0.4167
robustness_0.05_seed113_obs_rate,0.6667
robustness_0.05_cat_wood_log_policy_net,0.4167
robustness_0.05_cat_wood_log_obs_rate,0.6667
robustness_0.05_cat_stone_block_policy_net,0.4167
robustness_0.05_cat_stone_block_obs_rate,0.6667
robustness_0.05_cat_apple_policy_net,0.4167
robustness_0.05_cat_apple_obs_rate,0.6667
robustness_0.05_cat_wooden_pickaxe_policy_net,0.4167
robustness_0.05_cat_wooden_pickaxe_obs_rate,0.6667
