metric,value
block_id,1J40b-7d
implementation_status,FAIL
elapsed_seconds,19.2
primary_0.03_cost,0.03
primary_0.03_a_D0_test_A1_policy_net,0.42
primary_0.03_a_D0_test_A1_obs_rate,1.0
primary_0.03_a_D0_test_A1_pos_obs,1.0
primary_0.03_a_D0_test_A1_nonpos_obs,1.0
primary_0.03_a_D0_test_A1_always_obs,0.42
primary_0.03_a_D0_test_A1_oracle,0.43
primary_0.03_a_D0_test_A1_ov_feats,35
primary_0.03_a_D0_test_A2_policy_net,0.42
primary_0.03_a_D0_test_A2_obs_rate,1.0
primary_0.03_a_D0_test_A2_pos_obs,1.0
primary_0.03_a_D0_test_A2_nonpos_obs,1.0
primary_0.03_a_D0_test_A2_always_obs,0.42
primary_0.03_a_D0_test_A2_oracle,0.43
primary_0.03_a_D0_test_A2_ov_feats,35
primary_0.03_a_D0_test_A3_policy_net,0.42
primary_0.03_a_D0_test_A3_obs_rate,1.0
primary_0.03_a_D0_test_A3_pos_obs,1.0
primary_0.03_a_D0_test_A3_nonpos_obs,1.0
primary_0.03_a_D0_test_A3_always_obs,0.42
primary_0.03_a_D0_test_A3_oracle,0.43
primary_0.03_a_D0_test_A3_ov_feats,35
primary_0.03_a_D0_test_A4_policy_net,0.42
primary_0.03_a_D0_test_A4_obs_rate,1.0
primary_0.03_a_D0_test_A4_pos_obs,1.0
primary_0.03_a_D0_test_A4_nonpos_obs,1.0
primary_0.03_a_D0_test_A4_always_obs,0.42
primary_0.03_a_D0_test_A4_oracle,0.43
primary_0.03_a_D0_test_A4_ov_feats,35
primary_0.03_a_D1_test_A1_policy_net,0.42
primary_0.03_a_D1_test_A1_obs_rate,1.0
primary_0.03_a_D1_test_A1_pos_obs,1.0
primary_0.03_a_D1_test_A1_nonpos_obs,1.0
primary_0.03_a_D1_test_A1_always_obs,0.42
primary_0.03_a_D1_test_A1_oracle,0.43
primary_0.03_a_D1_test_A1_ov_feats,52
primary_0.03_a_D1_test_A2_policy_net,0.42
primary_0.03_a_D1_test_A2_obs_rate,1.0
