test_group,test_variant,condition,policy_net,always_obs,oracle_sel,obs_rate,pos_obs,nonpos_obs,vs_always_obs,vs_oracle,status,failures
A,A1,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A2,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A3,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A4,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
B,B1,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
B,B2,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed101,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed103,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed107,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed109,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed113,0.25_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A1,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A2,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A3,0.5_cost0.03,0.2200,0.2200,0.4300,1.0000,1.0000,1.0000,0.0000,0.2100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A4,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
B,B1,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
B,B2,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed101,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed103,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed107,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed109,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
C,C_seed113,0.5_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A1,original_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A2,original_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A3,original_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
A,A4,original_cost0.03,0.4200,0.4200,0.4300,1.0000,1.0000,1.0000,0.0000,0.0100,FAIL,"['policy_net > always_observe_net', 'obs_rate between 0 and 1', 'pos_obs > nonpos_obs']"
