observe_cost,condition,test_group,always_try,always_observe,oracle_selective,learned_policy,signature_lookup,oracle_belief,ob_vs_always_obs,ob_vs_always_try,oracle_vs_ob,learned_vs_ob,ob_obs_rate,ob_pos_obs,ob_nonpos_obs,learned_obs_rate
0.01,counterfactual_cov0.25,A,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,counterfactual_cov0.25,B,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,counterfactual_cov0.25,C,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,counterfactual_cov0.50,A,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,counterfactual_cov0.50,B,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,counterfactual_cov0.50,C,0.050000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.390000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,original,A,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,original,B,0.250000,0.440000,0.443333,0.440000,0.440000,0.440000,0.000000,0.190000,0.003333,0.000000,1.000000,1.000000,1.000000,1.000000
0.01,original,C,0.250000,0.440000,0.443333,0.443333,0.443333,0.443333,0.003333,0.193333,0.000000,0.000000,0.666667,1.000000,0.000000,0.666667
0.03,counterfactual_cov0.25,A,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,counterfactual_cov0.25,B,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,counterfactual_cov0.25,C,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,counterfactual_cov0.50,A,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,counterfactual_cov0.50,B,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,counterfactual_cov0.50,C,0.050000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.370000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,original,A,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,original,B,0.250000,0.420000,0.430000,0.420000,0.420000,0.420000,0.000000,0.170000,0.010000,0.000000,1.000000,1.000000,1.000000,1.000000
0.03,original,C,0.250000,0.420000,0.430000,0.430000,0.430000,0.430000,0.010000,0.180000,0.000000,0.000000,0.666667,1.000000,0.000000,0.666667
0.05,counterfactual_cov0.25,A,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,counterfactual_cov0.25,B,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,counterfactual_cov0.25,C,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,counterfactual_cov0.50,A,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,counterfactual_cov0.50,B,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,counterfactual_cov0.50,C,0.050000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.350000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,original,A,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,original,B,0.250000,0.400000,0.416667,0.400000,0.400000,0.400000,0.000000,0.150000,0.016667,0.000000,1.000000,1.000000,1.000000,1.000000
0.05,original,C,0.250000,0.400000,0.416667,0.416667,0.416667,0.416667,0.016667,0.166667,0.000000,0.000000,0.666667,1.000000,0.000000,0.666667
0.07,counterfactual_cov0.25,A,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,counterfactual_cov0.25,B,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,counterfactual_cov0.25,C,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,counterfactual_cov0.50,A,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,counterfactual_cov0.50,B,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,counterfactual_cov0.50,C,0.050000,0.380000,0.403333,0.372333,0.380000,0.380000,0.000000,0.330000,0.023333,-0.007667,1.000000,1.000000,1.000000,0.966667
0.07,original,A,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,original,B,0.250000,0.380000,0.403333,0.380000,0.380000,0.380000,0.000000,0.130000,0.023333,0.000000,1.000000,1.000000,1.000000,1.000000
0.07,original,C,0.250000,0.380000,0.403333,0.403333,0.403333,0.403333,0.023333,0.153333,0.000000,0.000000,0.666667,1.000000,0.000000,0.666667
