variant_id,family,test_type,observe_cost,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,always_observe_minus_always_try,positive_net_rate,mean_true_E_positive,mean_true_E_nonpositive,level1_policy_net,level2_policy_net,level3_policy_net,best_level,best_level_net,best_level_delta_vs_always_observe,level1_sign_correct_rate,level2_sign_correct_rate,level3_sign_correct_rate,level1_corr,level2_corr,level3_corr,fallback_rate_best_level,passes_primary_criteria,rejection_reason
A0_original,A,A,0.03,0.250000,0.420000,0.430000,0.010000,0.170000,0.666667,0.270000,-0.030000,0.420000,0.420000,0.420000,level1,0.420000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,B,0.03,0.250000,0.420000,0.430000,0.010000,0.170000,0.666667,0.270000,-0.030000,0.420000,0.420000,0.420000,level1,0.420000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,C,0.03,0.250000,0.420000,0.430000,0.010000,0.170000,0.666667,0.270000,-0.030000,0.420000,0.420000,0.420000,level1,0.420000,0.000000,0.666667,0.666667,0.666667,0.993859,0.792033,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,A,0.05,0.250000,0.400000,0.416667,0.016667,0.150000,0.666667,0.250000,-0.050000,0.400000,0.400000,0.400000,level1,0.400000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,B,0.05,0.250000,0.400000,0.416667,0.016667,0.150000,0.666667,0.250000,-0.050000,0.400000,0.400000,0.400000,level1,0.400000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,C,0.05,0.250000,0.400000,0.416667,0.016667,0.150000,0.666667,0.250000,-0.050000,0.400000,0.400000,0.400000,level1,0.400000,0.000000,0.666667,0.666667,0.666667,0.993859,0.792033,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;nonpositive_not_negative_enough;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,A,0.07,0.250000,0.380000,0.403333,0.023333,0.130000,0.666667,0.230000,-0.070000,0.380000,0.380000,0.380000,level1,0.380000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,B,0.07,0.250000,0.380000,0.403333,0.023333,0.130000,0.666667,0.230000,-0.070000,0.380000,0.380000,0.380000,level1,0.380000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,C,0.07,0.250000,0.380000,0.403333,0.023333,0.130000,0.666667,0.230000,-0.070000,0.380000,0.380000,0.380000,level1,0.380000,0.000000,0.666667,0.666667,0.666667,0.993859,0.792033,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,A,0.10,0.250000,0.350000,0.383333,0.033333,0.100000,0.666667,0.200000,-0.100000,0.350000,0.350000,0.350000,level1,0.350000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,B,0.10,0.250000,0.350000,0.383333,0.033333,0.100000,0.666667,0.200000,-0.100000,0.350000,0.350000,0.350000,level1,0.350000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,C,0.10,0.250000,0.350000,0.383333,0.033333,0.100000,0.666667,0.200000,-0.100000,0.350000,0.358333,0.350000,level2,0.358333,0.008333,0.666667,0.750000,0.666667,0.993859,0.792033,0.000000,0.000000,False,positive_rate_too_high
A0_original,A,A,0.12,0.250000,0.330000,0.370000,0.040000,0.080000,0.666667,0.180000,-0.120000,0.330000,0.330000,0.330000,level1,0.330000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,B,0.12,0.250000,0.330000,0.370000,0.040000,0.080000,0.666667,0.180000,-0.120000,0.330000,0.330000,0.330000,level1,0.330000,0.000000,0.666667,0.666667,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,C,0.12,0.250000,0.330000,0.370000,0.040000,0.080000,0.666667,0.180000,-0.120000,0.330000,0.340000,0.330000,level2,0.340000,0.010000,0.666667,0.750000,0.666667,0.993859,0.792033,0.000000,0.000000,False,positive_rate_too_high
A0_original,A,A,0.15,0.250000,0.300000,0.350000,0.050000,0.050000,0.666667,0.150000,-0.150000,0.300000,0.250000,0.300000,level1,0.300000,0.000000,0.666667,0.333333,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,B,0.15,0.250000,0.300000,0.350000,0.050000,0.050000,0.666667,0.150000,-0.150000,0.300000,0.200000,0.300000,level1,0.300000,0.000000,0.666667,0.000000,0.666667,-1.000000,-1.000000,0.000000,0.000000,False,positive_rate_too_high;sign_correct_not_enough;best_level_does_not_beat_always_observe
A0_original,A,C,0.15,0.250000,0.300000,0.350000,0.050000,0.050000,0.666667,0.150000,-0.150000,0.300000,0.312500,0.300000,level2,0.312500,0.012500,0.666667,0.750000,0.666667,0.993859,0.792033,0.000000,0.000000,False,positive_rate_too_high
A1_current_cov0.25,A,A,0.03,0.220000,0.373333,0.398444,0.025111,0.153333,0.922222,0.194535,-0.345000,0.373333,0.373333,0.373333,level1,0.373333,0.000000,0.922222,0.922222,0.922222,-0.317136,-0.317136,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,B,0.03,0.230000,0.380000,0.402667,0.022667,0.150000,0.933333,0.185795,-0.360000,0.380000,0.380000,0.380000,level1,0.380000,0.000000,0.933333,0.933333,0.933333,-0.337372,-0.337372,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,C,0.03,0.240000,0.373333,0.402833,0.029500,0.133333,0.738889,0.221332,-0.120048,0.373333,0.373333,0.373333,level1,0.373333,0.000000,0.738889,0.738889,0.738889,-0.117636,-0.010740,-0.224235,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,A,0.05,0.220000,0.353333,0.380000,0.026667,0.133333,0.922222,0.174535,-0.365000,0.353333,0.353333,0.353333,level1,0.353333,0.000000,0.922222,0.922222,0.922222,-0.317136,-0.317136,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,B,0.05,0.230000,0.360000,0.384000,0.024000,0.130000,0.933333,0.165795,-0.380000,0.360000,0.360000,0.360000,level1,0.360000,0.000000,0.933333,0.933333,0.933333,-0.337372,-0.337372,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,C,0.05,0.240000,0.353333,0.388056,0.034722,0.113333,0.738889,0.201332,-0.140048,0.353333,0.353333,0.353333,level1,0.353333,0.000000,0.738889,0.738889,0.738889,-0.117636,-0.010740,-0.224235,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,A,0.07,0.220000,0.333333,0.361556,0.028222,0.113333,0.922222,0.154535,-0.385000,0.333333,0.333333,0.333333,level1,0.333333,0.000000,0.922222,0.922222,0.922222,-0.317136,-0.317136,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,B,0.07,0.230000,0.340000,0.365333,0.025333,0.110000,0.933333,0.145795,-0.400000,0.340000,0.340000,0.340000,level1,0.340000,0.000000,0.933333,0.933333,0.933333,-0.337372,-0.337372,0.000000,0.000000,False,oracle_gap_lt_0.03;positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,C,0.07,0.240000,0.333333,0.373278,0.039944,0.093333,0.738889,0.181332,-0.160048,0.333333,0.333333,0.333333,level1,0.333333,0.000000,0.738889,0.738889,0.738889,-0.117636,-0.010740,-0.224235,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
A1_current_cov0.25,A,A,0.10,0.220000,0.303333,0.333889,0.030556,0.083333,0.922222,0.124535,-0.415000,0.303333,0.303333,0.303333,level1,0.303333,0.000000,0.922222,0.922222,0.922222,-0.317136,-0.317136,0.000000,0.000000,False,positive_rate_too_high;best_level_does_not_beat_always_observe
