variant_id,test_type,observe_cost,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,always_observe_minus_always_try,positive_net_rate,mean_true_E_positive,mean_true_E_nonpositive,level1_policy_net,level2_policy_net,level3_policy_net,best_level,best_level_net,best_level_delta_vs_always_observe,best_level_sign_correct_rate,level1_sign_correct_rate,level2_sign_correct_rate,level3_sign_correct_rate,level1_corr,level2_corr,level3_corr,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,compositional_reachability_rate,fallback_rate_best_level,passes_primary_criteria,rejection_reason
D4_cue_group_balanced_soft,A,0.03,0.126667,0.283333,0.336389,0.053056,0.156667,0.772222,0.274757,-0.250000,0.283333,0.283333,0.283333,level1,0.283333,0.000000,0.772222,0.772222,0.772222,0.772222,0.057468,0.057468,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,A,0.05,0.126667,0.263333,0.320944,0.057611,0.136667,0.772222,0.254757,-0.270000,0.263333,0.263333,0.263333,level1,0.263333,0.000000,0.772222,0.772222,0.772222,0.772222,0.057468,0.057468,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,A,0.07,0.126667,0.243333,0.305500,0.062167,0.116667,0.772222,0.234757,-0.290000,0.243333,0.243333,0.243333,level1,0.243333,0.000000,0.772222,0.772222,0.772222,0.772222,0.057468,0.057468,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,A,0.10,0.126667,0.213333,0.282333,0.069000,0.086667,0.772222,0.204757,-0.320000,0.213333,0.213333,0.213333,level1,0.213333,0.000000,0.772222,0.772222,0.772222,0.772222,0.057468,0.057468,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,B,0.03,0.090000,0.226667,0.294111,0.067444,0.136667,0.677778,0.301290,-0.210000,0.226667,0.226667,0.226667,level1,0.226667,0.000000,0.677778,0.677778,0.677778,0.677778,0.018256,0.018256,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,B,0.05,0.090000,0.206667,0.280556,0.073889,0.116667,0.677778,0.281290,-0.230000,0.206667,0.206667,0.206667,level1,0.206667,0.000000,0.677778,0.677778,0.677778,0.677778,0.018256,0.018256,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,B,0.07,0.090000,0.186667,0.267000,0.080333,0.096667,0.677778,0.261290,-0.250000,0.186667,0.186667,0.186667,level1,0.186667,0.000000,0.677778,0.677778,0.677778,0.677778,0.018256,0.018256,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,B,0.10,0.090000,0.156667,0.246667,0.090000,0.066667,0.677778,0.231290,-0.280000,0.156667,0.156667,0.156667,level1,0.156667,0.000000,0.677778,0.677778,0.677778,0.677778,0.018256,0.018256,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,C,0.03,0.163333,0.283333,0.338722,0.055389,0.120000,0.672222,0.261613,-0.184162,0.283333,0.283333,0.283333,level1,0.283333,0.000000,0.672222,0.672222,0.672222,0.672222,0.028863,0.008840,0.017164,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,C,0.05,0.163333,0.263333,0.325278,0.061944,0.100000,0.672222,0.241613,-0.204162,0.263333,0.263333,0.263333,level1,0.263333,0.000000,0.672222,0.672222,0.672222,0.672222,0.028863,0.008840,0.017164,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,C,0.07,0.163333,0.243333,0.311833,0.068500,0.080000,0.672222,0.221613,-0.224162,0.243333,0.243333,0.243333,level1,0.243333,0.000000,0.672222,0.672222,0.672222,0.672222,0.028863,0.008840,0.017164,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D4_cue_group_balanced_soft,C,0.10,0.163333,0.213333,0.291667,0.078333,0.050000,0.672222,0.191613,-0.254162,0.213333,0.213333,0.213333,level1,0.213333,0.000000,0.672222,0.672222,0.672222,0.672222,0.028863,0.008840,0.017164,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D5_pairwise_cue_interaction,A,0.03,0.080000,0.216667,0.281944,0.065278,0.136667,0.661111,0.304995,-0.195000,0.216667,0.216667,0.216667,level1,0.216667,0.000000,0.661111,0.661111,0.661111,0.661111,-0.206272,-0.206272,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D5_pairwise_cue_interaction,A,0.05,0.080000,0.196667,0.268722,0.072056,0.116667,0.661111,0.284995,-0.215000,0.196667,0.196667,0.196667,level1,0.196667,0.000000,0.661111,0.661111,0.661111,0.661111,-0.206272,-0.206272,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D5_pairwise_cue_interaction,A,0.07,0.080000,0.176667,0.255500,0.078833,0.096667,0.661111,0.264995,-0.235000,0.176667,0.176667,0.176667,level1,0.176667,0.000000,0.661111,0.661111,0.661111,0.661111,-0.206272,-0.206272,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D5_pairwise_cue_interaction,A,0.10,0.080000,0.146667,0.235667,0.089000,0.066667,0.661111,0.234995,-0.265000,0.146667,0.146667,0.146667,level1,0.146667,0.000000,0.661111,0.661111,0.661111,0.661111,-0.206272,-0.206272,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D5_pairwise_cue_interaction,B,0.03,0.076667,0.200000,0.262333,0.062333,0.123333,0.633333,0.293116,-0.170000,0.200000,0.200000,0.200000,level1,0.200000,0.000000,0.633333,0.633333,0.633333,0.633333,-0.134233,-0.134233,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,B,0.05,0.076667,0.180000,0.249667,0.069667,0.103333,0.633333,0.273116,-0.190000,0.180000,0.180000,0.180000,level1,0.180000,0.000000,0.633333,0.633333,0.633333,0.633333,-0.134233,-0.134233,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,B,0.07,0.076667,0.160000,0.237000,0.077000,0.083333,0.633333,0.253116,-0.210000,0.160000,0.160000,0.160000,level1,0.160000,0.000000,0.633333,0.633333,0.633333,0.633333,-0.134233,-0.134233,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,B,0.10,0.076667,0.130000,0.218000,0.088000,0.053333,0.633333,0.223116,-0.240000,0.130000,0.130000,0.130000,level1,0.130000,0.000000,0.633333,0.633333,0.633333,0.633333,-0.134233,-0.134233,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,C,0.03,0.123333,0.216667,0.287722,0.071056,0.093333,0.594444,0.276794,-0.175920,0.216667,0.216667,0.216667,level1,0.216667,0.000000,0.594444,0.594444,0.594444,0.594444,0.023964,0.008610,-0.046235,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,C,0.05,0.123333,0.196667,0.275833,0.079167,0.073333,0.594444,0.256794,-0.195920,0.196667,0.196667,0.196667,level1,0.196667,0.000000,0.594444,0.594444,0.594444,0.594444,0.023964,0.008610,-0.046235,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,C,0.07,0.123333,0.176667,0.263944,0.087278,0.053333,0.594444,0.236794,-0.215920,0.176667,0.176667,0.176667,level1,0.176667,0.000000,0.594444,0.594444,0.594444,0.594444,0.023964,0.008610,-0.046235,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D5_pairwise_cue_interaction,C,0.10,0.123333,0.146667,0.246111,0.099444,0.023333,0.594444,0.206794,-0.245920,0.146667,0.146667,0.146667,level1,0.146667,0.000000,0.594444,0.594444,0.594444,0.594444,0.023964,0.008610,-0.046235,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D6_candidate_set_structured,A,0.03,0.103333,0.233333,0.295444,0.062111,0.130000,0.688889,0.277971,-0.210000,0.233333,0.233333,0.233333,level1,0.233333,0.000000,0.688889,0.688889,0.688889,0.688889,-0.019803,-0.019803,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,A,0.05,0.103333,0.213333,0.281667,0.068333,0.110000,0.688889,0.257971,-0.230000,0.213333,0.213333,0.213333,level1,0.213333,0.000000,0.688889,0.688889,0.688889,0.688889,-0.019803,-0.019803,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,A,0.07,0.103333,0.193333,0.267889,0.074556,0.090000,0.688889,0.237971,-0.250000,0.193333,0.193333,0.193333,level1,0.193333,0.000000,0.688889,0.688889,0.688889,0.688889,-0.019803,-0.019803,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,A,0.10,0.103333,0.163333,0.247222,0.083889,0.060000,0.688889,0.207971,-0.280000,0.156667,0.156667,0.145000,level1,0.156667,-0.006667,0.677778,0.677778,0.677778,0.594444,-0.019803,-0.019803,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,B,0.03,0.116667,0.273333,0.330000,0.056667,0.156667,0.755556,0.284019,-0.240000,0.273333,0.273333,0.273333,level1,0.273333,0.000000,0.755556,0.755556,0.755556,0.755556,0.094694,0.094694,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,B,0.05,0.116667,0.253333,0.314889,0.061556,0.136667,0.755556,0.264019,-0.260000,0.253333,0.253333,0.253333,level1,0.253333,0.000000,0.755556,0.755556,0.755556,0.755556,0.094694,0.094694,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,B,0.07,0.116667,0.233333,0.299778,0.066444,0.116667,0.755556,0.244019,-0.280000,0.233333,0.233333,0.233333,level1,0.233333,0.000000,0.755556,0.755556,0.755556,0.755556,0.094694,0.094694,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,B,0.10,0.116667,0.203333,0.277111,0.073778,0.086667,0.755556,0.214019,-0.310000,0.190000,0.190000,0.166667,level1,0.190000,-0.013333,0.733333,0.733333,0.733333,0.566667,0.094694,0.094694,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;positive_rate_out_of_range;single_cue_too_predictive
D6_candidate_set_structured,C,0.03,0.130000,0.233333,0.294000,0.060667,0.103333,0.588889,0.280279,-0.150404,0.233333,0.233333,0.233333,level1,0.233333,0.000000,0.588889,0.588889,0.588889,0.588889,0.073384,0.079406,0.117992,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D6_candidate_set_structured,C,0.05,0.130000,0.213333,0.282222,0.068889,0.083333,0.588889,0.260279,-0.170404,0.213333,0.213333,0.213333,level1,0.213333,0.000000,0.588889,0.588889,0.588889,0.588889,0.073384,0.079406,0.117992,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D6_candidate_set_structured,C,0.07,0.130000,0.193333,0.270444,0.077111,0.063333,0.588889,0.240279,-0.190404,0.193333,0.193333,0.193333,level1,0.193333,0.000000,0.588889,0.588889,0.588889,0.588889,0.073384,0.079406,0.117992,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D6_candidate_set_structured,C,0.10,0.130000,0.163333,0.252778,0.089444,0.033333,0.588889,0.210279,-0.220404,0.163333,0.160000,0.163333,level1,0.163333,0.000000,0.588889,0.588889,0.588889,0.588889,0.073384,0.079406,0.117992,0.500000,1.000000,1.000000,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D7_hybrid_soft_structured,A,0.03,0.086667,0.230000,0.293278,0.063278,0.143333,0.683333,0.302671,-0.205000,0.230000,0.230000,0.230000,level1,0.230000,0.000000,0.683333,0.683333,0.683333,0.683333,-0.024014,-0.024014,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D7_hybrid_soft_structured,A,0.05,0.086667,0.210000,0.279611,0.069611,0.123333,0.683333,0.282671,-0.225000,0.210000,0.210000,0.210000,level1,0.210000,0.000000,0.683333,0.683333,0.683333,0.683333,-0.024014,-0.024014,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D7_hybrid_soft_structured,A,0.07,0.086667,0.190000,0.265944,0.075944,0.103333,0.683333,0.262671,-0.245000,0.190000,0.190000,0.190000,level1,0.190000,0.000000,0.683333,0.683333,0.683333,0.683333,-0.024014,-0.024014,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D7_hybrid_soft_structured,A,0.10,0.086667,0.160000,0.245444,0.085444,0.073333,0.683333,0.232671,-0.275000,0.160000,0.160000,0.160000,level1,0.160000,0.000000,0.683333,0.683333,0.683333,0.683333,-0.024014,-0.024014,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;positive_rate_out_of_range;single_cue_too_predictive
D7_hybrid_soft_structured,B,0.03,0.070000,0.193333,0.261111,0.067778,0.123333,0.622222,0.307931,-0.180000,0.193333,0.193333,0.193333,level1,0.193333,0.000000,0.622222,0.622222,0.622222,0.622222,0.090417,0.090417,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D7_hybrid_soft_structured,B,0.05,0.070000,0.173333,0.248667,0.075333,0.103333,0.622222,0.287931,-0.200000,0.173333,0.173333,0.173333,level1,0.173333,0.000000,0.622222,0.622222,0.622222,0.622222,0.090417,0.090417,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D7_hybrid_soft_structured,B,0.07,0.070000,0.153333,0.236222,0.082889,0.083333,0.622222,0.267931,-0.220000,0.153333,0.153333,0.153333,level1,0.153333,0.000000,0.622222,0.622222,0.622222,0.622222,0.090417,0.090417,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
D7_hybrid_soft_structured,B,0.10,0.070000,0.123333,0.217556,0.094222,0.053333,0.622222,0.237931,-0.250000,0.123333,0.123333,0.123333,level1,0.123333,0.000000,0.622222,0.622222,0.622222,0.622222,0.090417,0.090417,0.000000,0.500000,1.000000,1.000000,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough;single_cue_too_predictive
