variant_id,test_type,observe_cost,always_try_net,always_observe_net,oracle_selective_net,oracle_minus_always_observe,always_observe_minus_always_try,positive_net_rate,mean_true_E_positive,mean_true_E_nonpositive,level1_policy_net,level2_policy_net,level3_policy_net,best_level,best_level_net,best_level_delta_vs_always_observe,best_level_sign_correct_rate,level1_sign_correct_rate,level2_sign_correct_rate,level3_sign_correct_rate,level1_corr,level2_corr,level3_corr,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,compositional_reachability_rate,fallback_rate_best_level,passes_primary_criteria,rejection_reason
D8_anti_single_cue_balanced_s141,A,0.03,0.053333,0.126667,0.236111,0.109444,0.073333,0.511111,0.360203,-0.225151,0.126667,0.126667,0.126667,level1,0.126667,0.000000,0.511111,0.511111,0.511111,0.511111,-0.250460,-0.250460,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,A,0.05,0.053333,0.106667,0.225889,0.119222,0.053333,0.511111,0.340203,-0.245151,0.106667,0.106667,0.106667,level1,0.106667,0.000000,0.511111,0.511111,0.511111,0.511111,-0.250460,-0.250460,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,A,0.07,0.053333,0.086667,0.215667,0.129000,0.033333,0.511111,0.320203,-0.265151,0.068333,0.074167,0.086667,level3,0.086667,0.000000,0.511111,0.433333,0.472222,0.511111,-0.250460,-0.250460,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,A,0.10,0.053333,0.056667,0.200333,0.143667,0.003333,0.511111,0.290203,-0.295151,0.046667,0.053333,0.046667,level2,0.053333,-0.003333,0.488889,0.444444,0.488889,0.444444,-0.250460,-0.250460,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,B,0.03,0.036667,0.093333,0.209889,0.116556,0.056667,0.455556,0.380714,-0.214250,0.093333,0.093333,0.093333,level1,0.093333,0.000000,0.455556,0.455556,0.455556,0.455556,-0.204944,-0.204944,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,B,0.05,0.036667,0.073333,0.200778,0.127444,0.036667,0.455556,0.360714,-0.234250,0.073333,0.073333,0.073333,level1,0.073333,0.000000,0.455556,0.455556,0.455556,0.455556,-0.204944,-0.204944,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,B,0.07,0.036667,0.053333,0.191667,0.138333,0.016667,0.455556,0.340714,-0.254250,0.053333,0.053333,0.053333,level1,0.053333,0.000000,0.455556,0.455556,0.455556,0.455556,-0.204944,-0.204944,,0.000000,0.733333,0.733333,1.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,B,0.10,0.036667,0.023333,0.178000,0.154667,-0.013333,0.455556,0.310714,-0.284250,0.023333,0.036667,0.023333,level2,0.036667,0.013333,0.544444,0.455556,0.544444,0.455556,-0.204944,-0.204944,,0.000000,0.733333,0.733333,1.000000,0.000000,False,always_observe_not_above_always_try;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,C,0.03,0.070000,0.126667,0.224111,0.097444,0.056667,0.511111,0.303056,-0.206556,0.126667,0.127167,0.126667,level2,0.127167,0.000500,0.516667,0.511111,0.516667,0.511111,0.143638,0.155310,-0.051907,0.000000,0.733333,0.733333,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
D8_anti_single_cue_balanced_s141,C,0.05,0.070000,0.106667,0.213889,0.107222,0.036667,0.511111,0.283056,-0.226556,0.106667,0.110833,0.106667,level2,0.110833,0.004167,0.527778,0.511111,0.527778,0.511111,0.143638,0.155310,-0.051907,0.000000,0.733333,0.733333,0.000000,0.000000,False,best_level_does_not_beat_always_observe;sign_correct_not_enough
