version,observe_cost,test_type,level,policy_net,always_try_net,always_observe_net,oracle_selective_net,delta_vs_always_observe,delta_vs_always_try,gap_to_oracle,observe_rate,sign_correct_rate,false_observe_rate,false_direct_rate,fallback_rate,positive_net_rate,exact_signature_determinism_rate,single_cue_max_predictiveness,cue_pair_max_predictiveness,train_pair_coverage_rate,hidden_h_probe_from_pre_surface_accuracy,structured_null_positive_rate_delta,structured_null_always_observe_delta,passes_level_headroom,rejection_reason
structured,0.03,A,level1,0.786875,0.786875,0.834375,0.933547,-0.047500,0.000000,0.146672,0.000000,0.184375,0.000000,0.815625,0.000000,0.543750,0.187500,0.552344,0.845313,1.000000,0.730859,-0.016016,0.095625,False,
structured,0.03,A,level2,0.786875,0.786875,0.834375,0.933547,-0.047500,0.000000,0.146672,0.000000,0.184375,0.000000,0.815625,0.000000,0.543750,0.187500,0.552344,0.845313,1.000000,0.730859,-0.016016,0.095625,False,
structured,0.03,A,level3,0.886875,0.786875,0.834375,0.933547,0.052500,0.100000,0.046672,0.500000,0.484375,0.100000,0.415625,0.000000,0.543750,0.187500,0.552344,0.845313,1.000000,0.730859,-0.016016,0.095625,True,
structured,0.03,B,level1,0.613000,0.613000,0.723000,0.769604,-0.110000,0.000000,0.156604,0.000000,0.534375,0.000000,0.465625,0.000000,0.543750,0.187500,0.552344,0.845313,1.000000,0.730859,-0.016016,-0.028687,False,
structured,0.03,B,level2,0.613000,0.613000,0.723000,0.769604,-0.110000,0.000000,0.156604,0.000000,0.534375,0.000000,0.465625,0.000000,0.543750,0.187500,0.552344,0.845313,1.000000,0.730859,-0.016016,-0.028687,False,
structured,0.03,B,level3,0.613000,0.613000,0.723000,0.769604,-0.110000,0.000000,0.156604,0.000000,0.534375,0.000000,0.465625,0.000000,0.543750,0.187500,0.552344,0.845313,1.000000,0.730859,-0.016016,-0.028687,False,
structured,0.05,A,level1,0.786875,0.786875,0.814375,0.920975,-0.027500,0.000000,0.134100,0.000000,0.600000,0.000000,0.400000,0.000000,0.433984,0.312500,0.675781,0.981250,1.000000,0.730859,-0.125781,0.095625,False,
structured,0.05,A,level2,0.786875,0.786875,0.814375,0.920975,-0.027500,0.000000,0.134100,0.000000,0.600000,0.000000,0.400000,0.000000,0.433984,0.312500,0.675781,0.981250,1.000000,0.730859,-0.125781,0.095625,False,
structured,0.05,A,level3,0.786875,0.786875,0.814375,0.920975,-0.027500,0.000000,0.134100,0.000000,0.600000,0.000000,0.400000,0.000000,0.433984,0.312500,0.675781,0.981250,1.000000,0.730859,-0.125781,0.095625,False,
structured,0.05,B,level1,0.613000,0.613000,0.703000,0.760291,-0.090000,0.000000,0.147291,0.000000,0.534375,0.000000,0.465625,0.000000,0.433984,0.312500,0.675781,0.981250,1.000000,0.730859,-0.125781,-0.028687,False,
structured,0.05,B,level2,0.613000,0.613000,0.703000,0.760291,-0.090000,0.000000,0.147291,0.000000,0.534375,0.000000,0.465625,0.000000,0.433984,0.312500,0.675781,0.981250,1.000000,0.730859,-0.125781,-0.028687,False,
structured,0.05,B,level3,0.613000,0.613000,0.703000,0.760291,-0.090000,0.000000,0.147291,0.000000,0.534375,0.000000,0.465625,0.000000,0.433984,0.312500,0.675781,0.981250,1.000000,0.730859,-0.125781,-0.028687,False,
structured,0.07,A,level1,0.786875,0.786875,0.794375,0.912975,-0.007500,0.000000,0.126100,0.000000,0.600000,0.000000,0.400000,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,0.095625,False,
structured,0.07,A,level2,0.786875,0.786875,0.794375,0.912975,-0.007500,0.000000,0.126100,0.000000,0.600000,0.000000,0.400000,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,0.095625,False,
structured,0.07,A,level3,0.786875,0.786875,0.794375,0.912975,-0.007500,0.000000,0.126100,0.000000,0.600000,0.000000,0.400000,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,0.095625,False,
structured,0.07,B,level1,0.613000,0.613000,0.683000,0.750979,-0.070000,0.000000,0.137979,0.000000,0.534375,0.000000,0.465625,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,-0.028687,False,
structured,0.07,B,level2,0.613000,0.613000,0.683000,0.750979,-0.070000,0.000000,0.137979,0.000000,0.534375,0.000000,0.465625,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,-0.028687,False,
structured,0.07,B,level3,0.613000,0.613000,0.683000,0.750979,-0.070000,0.000000,0.137979,0.000000,0.534375,0.000000,0.465625,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,-0.028687,False,
structured,0.10,A,level1,0.786875,0.786875,0.764375,0.900975,0.022500,0.000000,0.114100,0.000000,0.600000,0.000000,0.400000,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,0.095625,False,
structured,0.10,A,level2,0.786875,0.786875,0.764375,0.900975,0.022500,0.000000,0.114100,0.000000,0.600000,0.000000,0.400000,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,0.095625,False,
structured,0.10,A,level3,0.786875,0.786875,0.764375,0.900975,0.022500,0.000000,0.114100,0.000000,0.600000,0.000000,0.400000,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,0.095625,False,
structured,0.10,B,level1,0.613000,0.613000,0.653000,0.737010,-0.040000,0.000000,0.124010,0.000000,0.534375,0.000000,0.465625,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,-0.028687,False,
structured,0.10,B,level2,0.613000,0.613000,0.653000,0.737010,-0.040000,0.000000,0.124010,0.000000,0.534375,0.000000,0.465625,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,-0.028687,False,
structured,0.10,B,level3,0.613000,0.613000,0.653000,0.737010,-0.040000,0.000000,0.124010,0.000000,0.534375,0.000000,0.465625,0.000000,0.328906,0.437500,0.679688,0.981250,1.000000,0.730859,-0.230859,-0.028687,False,
null,0.03,A,level1,0.738750,0.736250,0.738750,0.867674,0.000000,0.002500,0.128924,1.000000,0.562500,0.437500,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.016016,0.095625,False,
null,0.03,A,level2,0.738750,0.736250,0.738750,0.867674,0.000000,0.002500,0.128924,1.000000,0.562500,0.437500,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.016016,0.095625,False,
null,0.03,A,level3,0.738750,0.736250,0.738750,0.867674,0.000000,0.002500,0.128924,1.000000,0.562500,0.437500,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.016016,0.095625,False,
null,0.03,B,level1,0.751687,0.749187,0.751687,0.872678,0.000000,0.002500,0.120990,1.000000,0.559375,0.440625,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.016016,-0.028687,False,
null,0.03,B,level2,0.751687,0.749187,0.751687,0.872678,0.000000,0.002500,0.120990,1.000000,0.559375,0.440625,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.016016,-0.028687,False,
null,0.03,B,level3,0.751687,0.749187,0.751687,0.872678,0.000000,0.002500,0.120990,1.000000,0.559375,0.440625,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.016016,-0.028687,False,
null,0.05,A,level1,0.718750,0.736250,0.718750,0.856424,0.000000,-0.017500,0.137674,1.000000,0.562500,0.437500,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.125781,0.095625,False,
null,0.05,A,level2,0.736250,0.736250,0.718750,0.856424,0.017500,0.000000,0.120174,0.000000,0.437500,0.000000,0.562500,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.125781,0.095625,False,
null,0.05,A,level3,0.736250,0.736250,0.718750,0.856424,0.017500,0.000000,0.120174,0.000000,0.437500,0.000000,0.562500,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.125781,0.095625,False,
null,0.05,B,level1,0.731687,0.749187,0.731687,0.861490,0.000000,-0.017500,0.129803,1.000000,0.559375,0.440625,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.125781,-0.028687,False,
null,0.05,B,level2,0.739187,0.749187,0.731687,0.861490,0.007500,-0.010000,0.122303,0.500000,0.503125,0.218750,0.278125,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.125781,-0.028687,False,
null,0.05,B,level3,0.731687,0.749187,0.731687,0.861490,0.000000,-0.017500,0.129803,1.000000,0.559375,0.440625,0.000000,0.000000,0.559766,0.000000,0.585938,0.607812,1.000000,0.497656,-0.125781,-0.028687,False,
