metric,value
new_condition,C6_observe_try_counterfactual_v0
schedule_label_removed_from_agent_visible,True
recursive_leakage_check_passed,True
total_objects,36
total_events,264
no_observe_try_count,72
one_observe_try_count,72
repeated_observe_try_count,72
matched_schedule_group_count,12
comparable_observe_try_set_count,24
complete_action_set_count,36
partial_action_set_count,0
delayed_credit_available,True
delayed_observe_benefit_detectable,True
matched_advantage_available,True
delayed_credit_overattribution_risk,False
observe_helps_advantage,0.1
observe_neutral_advantage,0.0
observe_wasteful_advantage,0.0
role_sanity_pass,True
role_sanity_helps,True
role_sanity_neutral,True
role_sanity_wasteful,True
mean_immediate_observe_value,0.25
mean_matched_advantage,0.0333
mean_delayed_per_try,0.1083
try_value_max,0.45
no_observe_success_rate,0.375
one_observe_success_rate,0.4306
repeated_observe_success_rate,0.4306
audit_label_leakage_detected,False
old_c4_preserved,True
old_c5_preserved,True
policy_decisions_changed,False
implementation_status,pass
