metric,value
new_condition,C6_observe_try_counterfactual_v0
total_objects,36
total_events,264
observe_events,48
try_events,216
no_observe_try_count,72
one_observe_try_count,72
repeated_observe_try_count,72
matched_schedule_group_count,12
comparable_observe_try_set_count,24
complete_action_set_count,36
partial_action_set_count,0
delayed_credit_available,True
delayed_observe_benefit_detectable,True
mean_immediate_observe_value,0.26
mean_combined_observe_value,0.6225
combined_observe_can_exceed_try,True
observe_immediate_min,0.225
observe_immediate_max,0.305
observe_delayed_min,-0.45
observe_delayed_max,1.5
observe_combined_min,-0.165
observe_combined_max,1.805
try_value_min,-0.15
try_value_max,0.45
no_observe_success_rate,0.3889
one_observe_success_rate,0.3889
repeated_observe_success_rate,0.3889
schedule_role_no_observe|observe_helps_success_rate,0.4167
schedule_role_no_observe|observe_neutral_success_rate,0.375
schedule_role_no_observe|observe_wasteful_success_rate,0.375
schedule_role_one_observe|observe_helps_success_rate,0.4167
schedule_role_one_observe|observe_neutral_success_rate,0.375
schedule_role_one_observe|observe_wasteful_success_rate,0.375
schedule_role_repeated_observe|observe_helps_success_rate,0.4167
schedule_role_repeated_observe|observe_neutral_success_rate,0.375
schedule_role_repeated_observe|observe_wasteful_success_rate,0.375
audit_label_leakage_detected,False
old_c4_preserved,True
old_c5_preserved,True
policy_decisions_changed,False
implementation_status,pass
