n_related_observed,n_bridge_observed,baseline,test_name,score,delta_vs_random,delta_vs_always_observe,delta_vs_always_direct,gap_to_oracle,observe_rate,sign_correct_rate,false_cluster_rate,predicted_positive_rate,test_score,same_family_test_score,bridge_required_test_score,boundary_test_score,null_control_score,related_cluster_recoverability,bridge_cluster_recoverability,overgeneralization_rate,null_false_discovery_rate,train_test_relation_coverage
0,0,random_action,same_family_test,0.64,0.0,-0.14,0.14,0.14,,,,0.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,random_action,bridge_required_test,0.64,0.0,-0.14,0.14,0.14,,,,0.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,random_action,boundary_test,0.75,0.0,0.06999999999999995,-0.06999999999999995,0.06999999999999995,,,,0.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,random_action,null_control_test,0.64,0.0,0.0,0.0,0.0,,,,0.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,always_observe,same_family_test,0.78,0.14,0.0,0.28,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,always_observe,bridge_required_test,0.78,0.14,0.0,0.28,0.0,1.0,1.0,0.0,1.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,always_observe,boundary_test,0.68,-0.06999999999999995,0.0,-0.1399999999999999,0.1399999999999999,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,always_observe,null_control_test,0.64,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,always_direct,same_family_test,0.5,-0.14,-0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
0,0,always_direct,bridge_required_test,0.5,-0.14,-0.28,0.0,0.28,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.82,0.64,0.0,0.0,0.0,0.0,0.0
