seed,env_id,random_return,1j43a_simple_probe_return,mission_visible_object_probe_return,experience_plus_mission_probe_return,delta_vs_random,delta_vs_1j43a_probe,success_proxy_rate,visible_target_success_rate,target_not_visible_fallback_success_rate,target_visible_rate,target_adjacent_rate,action_bridge_coverage,mission_parse_success_rate,unsupported_mission_count,event_memory_count,object_memory_count,outcome_memory_count,common_sense_record_count,experience_record_count,goal_context_coverage,confidence_update_available,boundary_rule_available,confidence_update_count,boundary_rule_count,hidden_leakage,audit_only_fields_absent,legal_observation_only,three_world_separation
101,BabyAI-GoToObj-v0,0.098828125,0.046484375,0.131015625,0.131015625,0.032187499999999994,0.08453125,0.15,0.16666666666666666,0.0,0.7067264573991031,0.05739910313901345,0.7067264573991031,1.0,0,450,10,125,5,5,1.0,True,True,15,19,False,True,True,True
101,BabyAI-GoToRedBall-v0,0.147265625,0.0,0.08453125,0.08453125,-0.06273437500000001,0.08453125,0.1,0.1111111111111111,0.0,0.7614991482112436,0.05366269165247019,0.7614991482112436,1.0,0,388,34,129,7,7,1.0,True,True,21,36,False,True,True,True
101,BabyAI-Pickup-v0,0.061406249999999996,0.0,0.0,0.0,-0.061406249999999996,0.0,0.0,0.0,0.0,0.05633680555555556,0.05,0.05633680555555556,1.0,0,4504,45,406,9,9,1.0,True,True,27,41,False,True,True,True
101,BabyAI-OpenDoor-v0,0.234609375,0.0,0.29679687499999996,0.29679687499999996,0.06218749999999995,0.29679687499999996,0.3,0.35294117647058826,0.0,0.5888957433682912,0.14238124614435532,0.5888957433682912,1.0,0,3805,30,419,4,4,1.0,True,True,12,29,False,True,True,True
207,BabyAI-GoToObj-v0,0.085546875,0.048593750000000005,0.39796875,0.39796875,0.31242187499999996,0.349375,0.45,0.5294117647058824,0.0,0.3226221079691517,0.0,0.3226221079691517,1.0,0,450,11,117,5,5,1.0,True,True,15,15,False,True,True,True
207,BabyAI-GoToRedBall-v0,0.2509375,0.09789062500000001,0.239453125,0.239453125,-0.011484374999999991,0.14156249999999998,0.25,0.29411764705882354,0.0,0.49641025641025643,0.19487179487179487,0.49641025641025643,1.0,0,229,30,98,7,7,1.0,True,True,21,33,False,True,True,True
207,BabyAI-Pickup-v0,0.11937500000000001,0.0,0.0,0.0,-0.11937500000000001,0.0,0.0,0.0,0.0,0.14956597222222223,0.0,0.14956597222222223,1.0,0,3670,50,461,12,12,1.0,True,True,36,38,False,True,True,True
207,BabyAI-OpenDoor-v0,0.376328125,0.0,0.19789062500000001,0.19789062500000001,-0.1784375,0.19789062500000001,0.2,0.23529411764705882,0.0,0.6556312885426809,0.2494860975873634,0.6556312885426809,1.0,0,4123,28,344,5,5,1.0,True,True,15,18,False,True,True,True
404,BabyAI-GoToObj-v0,0.138125,0.08171874999999999,0.321875,0.321875,0.18375000000000002,0.24015625000000002,0.35,0.4117647058823529,0.0,0.35091743119266056,0.07339449541284404,0.35091743119266056,1.0,0,398,12,104,7,7,1.0,True,True,21,18,False,True,True,True
404,BabyAI-GoToRedBall-v0,0.07476562499999999,0.0,0.1359375,0.1359375,0.061171875,0.1359375,0.15,0.16666666666666666,0.0,0.5893501805054152,0.11552346570397112,0.5893501805054152,1.0,0,340,30,131,8,8,1.0,True,True,24,30,False,True,True,True
404,BabyAI-Pickup-v0,0.113984375,0.0,0.09875,0.09875,-0.015234374999999994,0.09875,0.1,0.6666666666666666,0.0,0.05614406779661017,0.0001926040061633282,0.05614406779661017,1.0,0,3692,48,539,12,12,1.0,True,True,36,36,False,True,True,True
404,BabyAI-OpenDoor-v0,0.22296875,0.0,0.34625,0.34625,0.12328125000000001,0.34625,0.35,0.3888888888888889,0.0,0.5874469214437368,0.3065286624203822,0.5874469214437368,1.0,0,4135,24,385,5,5,1.0,True,True,15,26,False,True,True,True
