strategy_id,category,action_type,target_action,evidence_mode,is_proxy,causal_allowed,support,success,failure,contradictions,action_value,obs_value,risk_score,confidence,status
strat_stable_consistent_try_burn_as_fuel,stable_consistent,try,burn_as_fuel,derived_from_experience,False,False,8,4,4,0,0.5,0.0,0.5,0.5,stable
strat_stable_consistent_try_craft_plank,stable_consistent,try,craft_plank,derived_from_experience,False,False,8,2,6,0,0.25,0.0,0.75,0.75,stable
strat_stable_consistent_try_eat,stable_consistent,try,eat,derived_from_experience,False,False,8,0,8,0,0.0,0.0,1.0,1.0,stable
strat_stable_consistent_try_mine_by_hand,stable_consistent,try,mine_by_hand,derived_from_experience,False,False,8,4,4,0,0.5,0.0,0.5,0.5,stable
strat_stable_consistent_try_mine_with_pickaxe,stable_consistent,try,mine_with_pickaxe,derived_from_experience,False,False,8,8,0,0,1.0,0.0,0.0,1.0,stable
strat_stable_consistent_try_use_as_tool,stable_consistent,try,use_as_tool,derived_from_experience,False,False,8,2,6,0,0.25,0.0,0.75,0.75,stable
strat_stable_mixed_try_burn_as_fuel,stable_mixed,try,burn_as_fuel,derived_from_experience,False,False,6,4,2,2,0.6667,0.0,0.3333,0.6667,contradicted
strat_stable_mixed_try_craft_plank,stable_mixed,try,craft_plank,derived_from_experience,False,False,6,0,6,0,0.0,0.0,1.0,1.0,stable
strat_stable_mixed_try_eat,stable_mixed,try,eat,derived_from_experience,False,False,6,1,5,1,0.1667,0.0,0.8333,0.8333,contradicted
strat_stable_mixed_try_mine_by_hand,stable_mixed,try,mine_by_hand,derived_from_experience,False,False,6,5,1,1,0.8333,0.0,0.1667,0.8333,contradicted
strat_stable_mixed_try_mine_with_pickaxe,stable_mixed,try,mine_with_pickaxe,derived_from_experience,False,False,6,6,0,0,1.0,0.0,0.0,1.0,stable
strat_stable_mixed_try_use_as_tool,stable_mixed,try,use_as_tool,derived_from_experience,False,False,6,2,4,2,0.3333,0.0,0.6667,0.6667,contradicted
strat_provisional_try_burn_as_fuel,provisional,try,burn_as_fuel,derived_from_experience,False,False,46,22,24,12,0.4783,0.0,0.5217,0.5217,contradicted
strat_provisional_try_craft_plank,provisional,try,craft_plank,derived_from_experience,False,False,46,10,36,7,0.2174,0.0,0.7826,0.7826,contradicted
strat_provisional_try_eat,provisional,try,eat,derived_from_experience,False,False,46,11,35,7,0.2391,0.0,0.7609,0.7609,contradicted
strat_provisional_try_mine_by_hand,provisional,try,mine_by_hand,derived_from_experience,False,False,46,39,7,5,0.8478,0.0,0.1522,0.8478,contradicted
strat_provisional_try_mine_with_pickaxe,provisional,try,mine_with_pickaxe,derived_from_experience,False,False,46,46,0,0,1.0,0.0,0.0,1.0,stable
strat_provisional_try_use_as_tool,provisional,try,use_as_tool,derived_from_experience,False,False,46,8,38,4,0.1739,0.0,0.8261,0.8261,contradicted
strat_all_try_burn_as_fuel,all,try,burn_as_fuel,derived_from_experience,False,False,60,30,30,14,0.5,0.0,0.5,0.5,contradicted
strat_all_try_craft_plank,all,try,craft_plank,derived_from_experience,False,False,60,12,48,7,0.2,0.0,0.8,0.8,contradicted
strat_all_try_eat,all,try,eat,derived_from_experience,False,False,60,12,48,8,0.2,0.0,0.8,0.8,contradicted
strat_all_try_mine_by_hand,all,try,mine_by_hand,derived_from_experience,False,False,60,48,12,6,0.8,0.0,0.2,0.8,contradicted
strat_all_try_mine_with_pickaxe,all,try,mine_with_pickaxe,derived_from_experience,False,False,60,60,0,0,1.0,0.0,0.0,1.0,stable
strat_all_try_use_as_tool,all,try,use_as_tool,derived_from_experience,False,False,60,12,48,6,0.2,0.0,0.8,0.8,contradicted
strat_stable_consistent_observe,stable_consistent,observe,,observed_action,False,False,8,8,0,0,1.0,1.0,0.0,1.0,stable
strat_stable_mixed_observe,stable_mixed,observe,,observed_action,False,False,6,6,0,0,1.0,1.0,0.0,1.0,stable
strat_provisional_observe,provisional,observe,,observed_action,False,False,46,46,0,0,1.0,1.0,0.0,1.0,stable
strat_all_observe,all,observe,,observed_action,False,False,60,60,0,0,1.0,1.0,0.0,1.0,stable
strat_stable_consistent_skip,stable_consistent,skip,,proxy_estimate,True,False,48,0,0,0,0.0,0.0,0.0,0.0,stable
strat_stable_mixed_skip,stable_mixed,skip,,proxy_estimate,True,False,36,0,0,6,0.0,0.1667,0.0,0.0,contradicted
strat_provisional_skip,provisional,skip,,proxy_estimate,True,False,276,0,0,35,0.0,0.1268,0.0,0.0,contradicted
strat_all_skip,all,skip,,proxy_estimate,True,False,360,0,0,41,0.0,0.1139,0.0,0.0,contradicted
strat_stable_consistent_switch,stable_consistent,switch,,proxy_estimate,True,False,4,0,0,0,0.0,0.2065,0.0,0.0,stable
strat_stable_mixed_switch,stable_mixed,switch,,proxy_estimate,True,False,3,0,0,0,0.0,0.2222,0.0,0.0,stable
strat_provisional_switch,provisional,switch,,proxy_estimate,True,False,22,0,0,0,0.0,0.2387,0.0,0.0,stable
strat_all_switch,all,switch,,proxy_estimate,True,False,29,0,0,0,0.0,0.2325,0.0,0.0,stable
